degree,partition,length,rung13,rung14,lmr,witness_ids,conditional_i_pad_floor,certified_i_pad_floor,certified_i_det_upper,exclusion_status,B_predecessor,B_exact_inherited_increment,B_birth_upper,B_bound_kind
26,"(66, 23, 2, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 23, 2, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 22, 4, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_45_5_2;w_12_41_5_2,"max(0, p13, p14)",0,,OPEN,"(62, 22, 4, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 22, 3, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 22, 3, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 22, 3, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 22, 3, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 22, 2, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 22, 2, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 21, 5, 2, 2, 2, 2, 2, 2)",9,True,True,False,w_13_45_4_3;w_12_41_4_3,"max(0, p13, p14)",0,,OPEN,"(62, 21, 5, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 21, 4, 3, 2, 2, 2, 2, 2)",9,True,True,False,w_13_45_4_2_1;w_12_41_4_2_1,"max(0, p13, p14)",0,,OPEN,"(62, 21, 4, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 21, 4, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 21, 4, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 21, 3, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 21, 3, 3, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 21, 3, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 21, 3, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 20, 6, 2, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 20, 6, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 20, 5, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 20, 5, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 20, 5, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 20, 5, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 20, 4, 4, 2, 2, 2, 2, 2)",9,True,True,False,w_13_45_3_2_2;w_12_41_3_2_2,"max(0, p13, p14)",0,,OPEN,"(62, 20, 4, 4, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 20, 4, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 20, 4, 3, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 20, 4, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 20, 4, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 20, 3, 3, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 20, 3, 3, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 19, 7, 2, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 19, 7, 2, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 19, 6, 3, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 19, 6, 3, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 19, 6, 2, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 6, 2, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 19, 5, 4, 2, 2, 2, 2, 2)",9,False,False,False,,max(0),0,,OPEN,"(62, 19, 5, 4, 2, 2, 2, 2, 2)",,3875225466500603280,coarse exact monomial upper bound
26,"(66, 19, 5, 3, 2, 2, 2, 2, 2, 1)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 5, 3, 2, 2, 2, 2, 2, 1)",,102245008116551614875,coarse exact monomial upper bound
26,"(66, 19, 5, 2, 2, 2, 2, 2, 2, 2)",10,False,False,False,,max(0),0,,OPEN,"(62, 19, 5, 2, 2, 2, 2, 2, 2, 2)",,102245008116551614875,coarse exact monomial upper bound
