[sweep r=2 d=4] lam=(16, 0) a4=1 mult_R=1 B_full=1 T=1 [1, 1] pts=25 -> excess 0 EXACT
[sweep r=3 d=6] lam=(15, 7, 2) a4=4 mult_R=4 B_full=18 T=4 [4, 4] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(15, 6, 3) a4=5 mult_R=5 B_full=18 T=5 [5, 5] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(15, 5, 4) a4=2 mult_R=2 B_full=11 T=2 [2, 2] pts=35 -> excess 0 EXACT
[sweep r=3 d=6] lam=(14, 10, 0) a4=2 mult_R=2 B_full=8 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=3 d=6] lam=(14, 9, 1) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=33 -> excess 0 EXACT
[sweep r=3 d=6] lam=(14, 8, 2) a4=6 mult_R=6 B_full=20 T=6 [6, 6] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(14, 7, 3) a4=4 mult_R=4 B_full=20 T=4 [4, 4] pts=42 -> excess 0 EXACT
[sweep r=3 d=6] lam=(14, 6, 4) a4=7 mult_R=7 B_full=20 T=7 [7, 7] pts=38 -> excess 0 EXACT
[sweep r=3 d=6] lam=(13, 10, 1) a4=2 mult_R=2 B_full=10 T=2 [2, 2] pts=33 -> excess 0 EXACT
[sweep r=3 d=6] lam=(13, 9, 2) a4=3 mult_R=3 B_full=19 T=3 [3, 3] pts=41 -> excess 0 EXACT
[sweep r=3 d=6] lam=(13, 8, 3) a4=5 mult_R=5 B_full=22 T=5 [5, 5] pts=43 -> excess 0 EXACT
[sweep r=3 d=6] lam=(13, 7, 4) a4=5 mult_R=5 B_full=22 T=5 [5, 5] pts=44 -> excess 0 EXACT
[sweep r=3 d=6] lam=(13, 6, 5) a4=3 mult_R=3 B_full=13 T=3 [3, 3] pts=35 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 12, 0) a4=2 mult_R=2 B_full=7 T=2 [2, 2] pts=31 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 10, 2) a4=4 mult_R=4 B_full=18 T=4 [4, 4] pts=39 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 9, 3) a4=4 mult_R=4 B_full=21 T=4 [4, 4] pts=43 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 8, 4) a4=7 mult_R=7 B_full=24 T=7 [7, 7] pts=43 -> excess 0 EXACT
[sweep r=3 d=6] lam=(12, 7, 5) a4=2 mult_R=2 B_full=15 T=2 [2, 2] pts=38 -> excess 0 EXACT
