  ...2000/34830 cells, 0 mismatches [153s]
  ...4000/34830 cells, 0 mismatches [546s]
  ...6000/34830 cells, 0 mismatches [1244s]
  ...8000/34830 cells, 0 mismatches [2366s]
  ...10000/34830 cells, 0 mismatches [3036s]
  ...12000/34830 cells, 0 mismatches [3909s]
  ...14000/34830 cells, 0 mismatches [4862s]
  ...16000/34830 cells, 0 mismatches [6079s]
  ...18000/34830 cells, 0 mismatches [7682s]
