delta,lam,ell,a,m_det,class,margin
8,17|4|4|3|3|1,6,0,-1,a0,
8,17|4|4|3|2|2,6,3,1282,silent,1279
8,17|4|3|3|3|2,6,0,-1,a0,
8,17|3|3|3|3|3,6,0,-1,a0,
8,16|12|1|1|1|1,6,0,-1,a0,
8,16|11|2|1|1|1,6,0,-1,a0,
8,16|10|3|1|1|1,6,2,536,silent,534
8,16|10|2|2|1|1,6,2,413,silent,411
8,16|9|4|1|1|1,6,4,1114,silent,1110
8,16|9|3|2|1|1,6,11,2009,silent,1998
8,16|9|2|2|2|1,6,10,824,silent,814
8,16|8|5|1|1|1,6,7,1564,silent,1557
8,16|8|4|2|1|1,6,18,4119,silent,4101
8,16|8|3|3|1|1,6,11,2835,silent,2824
8,16|8|3|2|2|1,6,19,3402,silent,3383
8,16|8|2|2|2|2,6,11,826,silent,815
8,16|7|6|1|1|1,6,4,1173,silent,1169
8,16|7|5|2|1|1,6,23,5015,silent,4992
8,16|7|4|3|1|1,6,20,6295,silent,6275
8,16|7|4|2|2|1,6,30,6390,silent,6360
8,16|7|3|3|2|1,6,10,5170,silent,5160
8,16|7|3|2|2|2,6,11,2619,silent,2608
8,16|6|6|2|1|1,6,5,2169,silent,2164
8,16|6|5|3|1|1,6,18,6015,silent,5997
8,16|6|5|2|2|1,6,22,5622,silent,5600
8,16|6|4|4|1|1,6,9,3523,silent,3514
8,16|6|4|3|2|1,6,23,9966,silent,9943
8,16|6|4|2|2|2,6,19,4226,silent,4207
8,16|6|3|3|3|1,6,1,3051,silent,3050
8,16|6|3|3|2|2,6,2,3422,silent,3420
8,16|5|5|4|1|1,6,10,2583,silent,2573
8,16|5|5|3|2|1,6,11,5447,silent,5436
8,16|5|5|2|2|2,6,2,1911,silent,1909
8,16|5|4|4|2|1,6,13,4610,silent,4597
8,16|5|4|3|3|1,6,4,4458,silent,4454
8,16|5|4|3|2|2,6,7,5051,silent,5044
8,16|5|3|3|3|2,6,0,-1,a0,
8,16|4|4|4|3|1,6,2,1384,silent,1382
8,16|4|4|4|2|2,6,6,1517,silent,1511
8,16|4|4|3|3|2,6,0,-1,a0,
8,16|4|3|3|3|3,6,0,-1,a0,
8,15|13|1|1|1|1,6,0,-1,a0,
8,15|12|2|1|1|1,6,0,-1,a0,
8,15|11|3|1|1|1,6,1,476,silent,475
8,15|11|2|2|1|1,6,4,397,silent,393
8,15|10|4|1|1|1,6,4,1137,silent,1133
8,15|10|3|2|1|1,6,12,2038,silent,2026
8,15|10|2|2|2|1,6,10,834,silent,824
8,15|9|5|1|1|1,6,9,1941,silent,1932
8,15|9|4|2|1|1,6,26,5035,silent,5009
8,15|9|3|3|1|1,6,10,3308,silent,3298
8,15|9|3|2|2|1,6,24,4010,silent,3986
8,15|9|2|2|2|2,6,8,878,silent,870
8,15|8|6|1|1|1,6,6,1908,silent,1902
8,15|8|5|2|1|1,6,33,7442,silent,7409
8,15|8|4|3|1|1,6,29,9032,silent,9003
8,15|8|4|2|2|1,6,42,9140,silent,9098
8,15|8|3|3|2|1,6,16,7249,silent,7233
8,15|8|3|2|2|2,6,15,3674,silent,3659
8,15|7|7|1|1|1,6,5,901,silent,896
8,15|7|6|2|1|1,6,23,5836,silent,5813
8,15|7|5|3|1|1,6,36,11946,silent,11910
8,15|7|5|2|2|1,6,38,10985,silent,10947
8,15|7|4|4|1|1,6,22,6701,silent,6679
8,15|7|4|3|2|1,6,40,17913,silent,17873
8,15|7|4|2|2|2,6,22,7174,silent,7152
8,15|7|3|3|3|1,6,2,5237,silent,5235
8,15|7|3|3|2|2,6,6,5997,silent,5991
8,15|6|6|3|1|1,6,11,5531,silent,5520
8,15|6|6|2|2|1,6,19,5214,silent,5195
8,15|6|5|4|1|1,6,21,8274,silent,8253
8,15|6|5|3|2|1,6,34,17386,silent,17352
8,15|6|5|2|2|2,6,16,6382,silent,6366
8,15|6|4|4|2|1,6,29,11787,silent,11758
8,15|6|4|3|3|1,6,8,10956,silent,10948
8,15|6|4|3|2|2,6,17,12370,silent,12353
8,15|6|3|3|3|2,6,0,-1,a0,
8,15|5|5|5|1|1,6,5,1798,silent,1793
8,15|5|5|4|2|1,6,13,8022,silent,8009
8,15|5|5|3|3|1,6,7,6386,silent,6379
8,15|5|5|3|2|2,6,5,6655,silent,6650
8,15|5|4|4|3|1,6,11,6584,silent,6573
8,15|5|4|4|2|2,6,10,6159,silent,6149
8,15|5|4|3|3|2,6,2,7231,silent,7229
8,15|5|3|3|3|3,6,0,-1,a0,
8,15|4|4|4|4|1,6,4,934,silent,930
8,15|4|4|4|3|2,6,3,2487,silent,2484
8,15|4|4|3|3|3,6,0,-1,a0,
8,14|14|1|1|1|1,6,0,-1,a0,
8,14|13|2|1|1|1,6,0,-1,a0,
8,14|12|3|1|1|1,6,2,331,silent,329
8,14|12|2|2|1|1,6,1,248,silent,247
8,14|11|4|1|1|1,6,4,953,silent,949
8,14|11|3|2|1|1,6,11,1695,silent,1684
8,14|11|2|2|2|1,6,8,684,silent,676
8,14|10|5|1|1|1,6,9,1900,silent,1891
8,14|10|4|2|1|1,6,23,4842,silent,4819
8,14|10|3|3|1|1,6,14,3241,silent,3227
8,14|10|3|2|2|1,6,22,3885,silent,3863
8,14|10|2|2|2|2,6,11,902,silent,891
8,14|9|6|1|1|1,6,10,2409,silent,2399
8,14|9|5|2|1|1,6,41,8847,silent,8806
8,14|9|4|3|1|1,6,35,10484,silent,10449
8,14|9|4|2|2|1,6,46,10493,silent,10447
8,14|9|3|3|2|1,6,18,8264,silent,8246
8,14|9|3|2|2|2,6,15,4120,silent,4105
8,14|8|7|1|1|1,6,9,1778,silent,1769
8,14|8|6|2|1|1,6,32,9229,silent,9197
8,14|8|5|3|1|1,6,54,17374,silent,17320
8,14|8|5|2|2|1,6,54,16002,silent,15948
8,14|8|4|4|1|1,6,23,9365,silent,9342
8,14|8|4|3|2|1,6,55,24981,silent,24926
8,14|8|4|2|2|2,6,33,10077,silent,10044
8,14|8|3|3|3|1,6,5,7127,silent,7122
8,14|8|3|3|2|2,6,6,8110,silent,8104
8,14|7|7|2|1|1,6,19,4265,silent,4246
8,14|7|6|3|1|1,6,36,14247,silent,14211
8,14|7|6|2|2|1,6,39,12876,silent,12837
8,14|7|5|4|1|1,6,43,16470,silent,16427
8,14|7|5|3|2|1,6,61,33629,silent,33568
8,14|7|5|2|2|2,6,22,11993,silent,11971
8,14|7|4|4|2|1,6,44,21101,silent,21057
8,14|7|4|3|3|1,6,17,19415,silent,19398
8,14|7|4|3|2|2,6,25,21545,silent,21520
8,14|7|3|3|3|2,6,1,7936,silent,7935
8,14|6|6|4|1|1,6,13,8226,silent,8213
8,14|6|6|3|2|1,6,28,16356,silent,16328
8,14|6|6|2|2|2,6,19,6059,silent,6040
8,14|6|5|5|1|1,6,13,6230,silent,6217
8,14|6|5|4|2|1,6,43,26306,silent,26263
8,14|6|5|3|3|1,6,16,19870,silent,19854
8,14|6|5|3|2|2,6,19,21175,silent,21156
8,14|6|4|4|3|1,6,20,16634,silent,16614
8,14|6|4|4|2|2,6,26,15540,silent,15514
8,14|6|4|3|3|2,6,4,17402,silent,17398
8,14|6|3|3|3|3,6,0,-1,a0,
8,14|5|5|5|2|1,6,5,5611,silent,5606
8,14|5|5|4|3|1,6,13,12030,silent,12017
8,14|5|5|4|2|2,6,5,10155,silent,10150
8,14|5|5|3|3|2,6,5,10298,silent,10293
8,14|5|4|4|4|1,6,8,4296,silent,4288
8,14|5|4|4|3|2,6,8,11228,silent,11220
8,14|5|4|3|3|3,6,0,-1,a0,
8,14|4|4|4|4|2,6,6,1875,silent,1869
8,14|4|4|4|3|3,6,0,-1,a0,
8,13|13|3|1|1|1,6,0,-1,a0,
8,13|13|2|2|1|1,6,2,113,silent,111
8,13|12|4|1|1|1,6,3,543,silent,540
8,13|12|3|2|1|1,6,6,960,silent,954
8,13|12|2|2|2|1,6,5,392,silent,387
8,13|11|5|1|1|1,6,7,1427,silent,1420
8,13|11|4|2|1|1,6,21,3660,silent,3639
8,13|11|3|3|1|1,6,7,2332,silent,2325
8,13|11|3|2|2|1,6,17,2844,silent,2827
8,13|11|2|2|2|2,6,4,587,silent,583
8,13|10|6|1|1|1,6,9,2229,silent,2220
8,13|10|5|2|1|1,6,36,8017,silent,7981
8,13|10|4|3|1|1,6,31,9411,silent,9380
8,13|10|4|2|2|1,6,41,9422,silent,9381
8,13|10|3|3|2|1,6,16,7368,silent,7352
8,13|10|3|2|2|2,6,14,3684,silent,3670
8,13|9|7|1|1|1,6,11,2321,silent,2310
8,13|9|6|2|1|1,6,43,10907,silent,10864
8,13|9|5|3|1|1,6,56,19315,silent,19259
8,13|9|5|2|2|1,6,57,17680,silent,17623
8,13|9|4|4|1|1,6,33,10435,silent,10402
8,13|9|4|3|2|1,6,57,27051,silent,26994
8,13|9|4|2|2|2,6,26,10576,silent,10550
