delta,lam,ell,a,m_det,det_units_lb
10,26|9|2|2|1,5,14,264,-250
10,27|7|4|1|1,5,9,262,-253
10,28|5|4|2|1,5,9,301,-292
10,28|6|3|2|1,5,8,300,-292
10,25|10|3|1|1,5,11,306,-295
10,27|5|5|2|1,5,7,308,-301
10,27|4|4|3|2,5,4,306,-302
10,24|4|4|4|4,5,10,314,-304
10,17|17|3|2|1,5,13,319,-306
10,25|10|2|2|1,5,18,332,-314
10,20|15|3|1|1,5,16,333,-317
10,20|15|2|2|1,5,20,341,-321
10,26|8|2|2|2,5,18,339,-321
10,18|16|2|2|2,5,20,369,-349
10,27|5|3|3|2,5,1,351,-350
10,24|11|3|1|1,5,15,366,-351
10,26|4|4|4|2,5,10,362,-352
10,24|11|2|2|1,5,21,386,-365
10,21|14|3|1|1,5,17,385,-368
10,21|14|2|2|1,5,24,402,-378
10,23|12|3|1|1,5,16,399,-383
10,25|4|4|4|3,5,6,390,-384
10,26|8|4|1|1,5,12,397,-385
10,27|6|3|3|1,5,4,392,-388
10,22|13|3|1|1,5,18,411,-393
10,8|8|8|8|8,5,4,400,-396
10,23|12|2|2|1,5,24,422,-398
10,22|13|2|2|1,5,25,427,-402
10,25|9|2|2|2,5,21,427,-406
10,26|7|5|1|1,5,15,448,-433
10,27|6|3|2|2,5,12,473,-461
10,19|15|2|2|2,5,23,491,-468
10,26|5|5|2|2,5,5,484,-479
10,24|7|7|1|1,5,19,500,-481
10,27|5|4|2|2,5,11,494,-483
10,27|7|3|2|1,5,15,500,-485
10,13|13|12|1|1,5,9,506,-497
10,18|16|4|1|1,5,19,525,-506
10,27|5|4|3|1,5,10,531,-521
10,25|7|6|1|1,5,16,553,-537
10,26|5|4|4|1,5,12,554,-542
10,24|10|2|2|2,5,30,573,-543
10,25|9|4|1|1,5,22,601,-579
10,23|11|2|2|2,5,30,627,-597
10,24|5|5|5|1,5,3,626,-623
10,20|14|2|2|2,5,35,667,-632
10,21|13|2|2|2,5,32,676,-644
10,26|5|5|3|1,5,10,667,-657
10,27|6|4|2|1,5,20,681,-661
10,22|12|2|2|2,5,38,725,-687
10,26|7|3|3|1,5,11,712,-701
10,25|8|5|1|1,5,23,760,-737
10,26|8|3|2|1,5,25,766,-741
10,24|10|4|1|1,5,27,771,-744
10,16|16|6|1|1,5,16,767,-751
10,26|6|3|3|2,5,4,780,-776
10,26|7|3|2|2,5,19,808,-789
10,19|15|4|1|1,5,37,850,-813
10,14|12|12|1|1,5,5,819,-814
10,17|16|5|1|1,5,28,854,-826
10,18|16|3|2|1,5,36,923,-887
10,25|5|5|4|1,5,10,899,-889
10,23|11|4|1|1,5,38,967,-929
10,22|8|8|1|1,5,17,955,-938
10,20|14|4|1|1,5,38,993,-955
10,25|6|6|2|1,5,23,1000,-977
10,26|6|5|2|1,5,24,1006,-982
10,22|12|4|1|1,5,39,1050,-1011
10,25|9|3|2|1,5,36,1070,-1034
10,24|8|6|1|1,5,28,1086,-1058
10,21|13|4|1|1,5,46,1108,-1062
10,17|16|3|3|1,5,24,1103,-1079
10,25|5|4|3|3,5,4,1099,-1095
10,25|8|3|3|1,5,18,1139,-1121
10,26|5|4|3|2,5,12,1145,-1133
10,17|16|3|2|2,5,31,1165,-1134
10,24|9|5|1|1,5,38,1183,-1145
10,26|6|4|2|2,5,31,1227,-1196
10,26|7|4|2|1,5,37,1251,-1214
10,23|8|7|1|1,5,35,1297,-1262
10,25|8|3|2|2,5,34,1296,-1262
10,26|6|4|3|1,5,22,1295,-1273
10,16|16|3|3|2,5,12,1301,-1289
10,23|5|4|4|4,5,13,1321,-1308
10,19|15|3|2|1,5,54,1395,-1341
10,24|10|3|2|1,5,49,1395,-1346
10,25|5|4|4|2,5,20,1384,-1364
10,24|7|3|3|3,5,3,1452,-1449
10,14|14|10|1|1,5,16,1482,-1466
10,25|6|4|4|1,5,31,1498,-1467
10,25|5|5|3|2,5,10,1485,-1475
10,25|7|3|3|2,5,12,1508,-1496
10,18|15|5|1|1,5,52,1583,-1531
10,23|10|5|1|1,5,51,1612,-1561
10,23|11|3|2|1,5,61,1664,-1603
10,24|9|3|3|1,5,30,1672,-1642
10,20|14|3|2|1,5,67,1723,-1656
10,15|15|8|1|1,5,36,1698,-1662
10,24|5|5|3|3,5,8,1726,-1718
10,23|5|5|5|2,5,3,1754,-1751
10,20|9|9|1|1,5,40,1808,-1768
10,22|12|3|2|1,5,68,1838,-1770
10,25|6|5|2|2,5,33,1817,-1784
10,21|13|3|2|1,5,71,1859,-1788
10,24|9|3|2|2,5,46,1840,-1794
10,24|5|4|4|3,5,15,1813,-1798
10,23|9|6|1|1,5,53,1874,-1821
10,20|5|5|5|5,5,1,1938,-1937
10,22|11|5|1|1,5,67,2019,-1952
10,14|13|11|1|1,5,28,1980,-1952
10,17|16|4|2|1,5,61,2016,-1955
10,24|6|6|2|2,5,42,2022,-1980
10,25|8|4|2|1,5,62,2051,-1989
10,18|15|3|3|1,5,44,2044,-2000
10,19|14|5|1|1,5,67,2068,-2001
10,16|11|11|1|1,5,36,2069,-2033
10,12|12|12|2|2,5,19,2062,-2043
10,16|16|4|2|2,5,49,2133,-2084
10,18|15|3|2|2,5,57,2147,-2090
10,25|7|5|2|1,5,53,2173,-2120
10,18|10|10|1|1,5,31,2193,-2162
10,23|10|3|3|1,5,41,2222,-2181
10,21|12|5|1|1,5,72,2257,-2185
10,25|7|4|2|2,5,47,2233,-2186
