delta,lam,ell,a,m_det,class,margin
12,32|5|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,32|5|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,32|5|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,32|4|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,32|4|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,32|4|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,32|4|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,32|3|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,32|3|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,32|3|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,32|2|2|2|2|2|2|2|1|1,10,0,-1,a0,
12,31|9|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,31|8|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,31|7|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,31|7|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,31|6|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,31|6|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,31|6|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,31|5|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,31|5|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,31|5|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,31|5|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,31|5|2|2|2|2|1|1|1|1,10,0,-1,a0,
12,31|4|4|3|1|1|1|1|1|1,10,0,-1,a0,
12,31|4|4|2|2|1|1|1|1|1,10,0,-1,a0,
12,31|4|3|3|2|1|1|1|1|1,10,0,-1,a0,
12,31|4|3|2|2|2|1|1|1|1,10,0,-1,a0,
12,31|4|2|2|2|2|2|1|1|1,10,0,-1,a0,
12,31|3|3|3|3|1|1|1|1|1,10,0,-1,a0,
12,31|3|3|3|2|2|1|1|1|1,10,0,-1,a0,
12,31|3|3|2|2|2|2|1|1|1,10,0,-1,a0,
12,31|3|2|2|2|2|2|2|1|1,10,0,-1,a0,
12,31|2|2|2|2|2|2|2|2|1,10,0,-1,a0,
12,30|10|1|1|1|1|1|1|1|1,10,0,-1,a0,
12,30|9|2|1|1|1|1|1|1|1,10,0,-1,a0,
12,30|8|3|1|1|1|1|1|1|1,10,0,-1,a0,
12,30|8|2|2|1|1|1|1|1|1,10,0,-1,a0,
12,30|7|4|1|1|1|1|1|1|1,10,0,-1,a0,
12,30|7|3|2|1|1|1|1|1|1,10,0,-1,a0,
12,30|7|2|2|2|1|1|1|1|1,10,0,-1,a0,
12,30|6|5|1|1|1|1|1|1|1,10,0,-1,a0,
12,30|6|4|2|1|1|1|1|1|1,10,0,-1,a0,
12,30|6|3|3|1|1|1|1|1|1,10,0,-1,a0,
12,30|6|3|2|2|1|1|1|1|1,10,0,-1,a0,
12,30|6|2|2|2|2|1|1|1|1,10,0,-1,a0,
