delta,lam,ell,a,m_det,class,margin
11,39|1|1|1|1|1,6,0,-1,a0,
11,38|2|1|1|1|1,6,0,-1,a0,
11,37|3|1|1|1|1,6,0,-1,a0,
11,37|2|2|1|1|1,6,0,-1,a0,
11,36|4|1|1|1|1,6,0,-1,a0,
11,36|3|2|1|1|1,6,0,-1,a0,
11,36|2|2|2|1|1,6,0,-1,a0,
11,35|5|1|1|1|1,6,0,-1,a0,
11,35|4|2|1|1|1,6,0,-1,a0,
11,35|3|3|1|1|1,6,0,-1,a0,
11,35|3|2|2|1|1,6,0,-1,a0,
11,35|2|2|2|2|1,6,0,-1,a0,
11,34|6|1|1|1|1,6,0,-1,a0,
11,34|5|2|1|1|1,6,0,-1,a0,
11,34|4|3|1|1|1,6,0,-1,a0,
11,34|4|2|2|1|1,6,0,-1,a0,
11,34|3|3|2|1|1,6,0,-1,a0,
11,34|3|2|2|2|1,6,0,-1,a0,
11,34|2|2|2|2|2,6,1,13,silent,12
11,33|7|1|1|1|1,6,0,-1,a0,
11,33|6|2|1|1|1,6,0,-1,a0,
11,33|5|3|1|1|1,6,0,-1,a0,
11,33|5|2|2|1|1,6,0,-1,a0,
11,33|4|4|1|1|1,6,0,-1,a0,
11,33|4|3|2|1|1,6,0,-1,a0,
11,33|4|2|2|2|1,6,1,78,silent,77
11,33|3|3|3|1|1,6,0,-1,a0,
11,33|3|3|2|2|1,6,0,-1,a0,
11,33|3|2|2|2|2,6,1,30,silent,29
11,32|8|1|1|1|1,6,0,-1,a0,
11,32|7|2|1|1|1,6,0,-1,a0,
11,32|6|3|1|1|1,6,0,-1,a0,
11,32|6|2|2|1|1,6,0,-1,a0,
11,32|5|4|1|1|1,6,0,-1,a0,
11,32|5|3|2|1|1,6,1,375,silent,374
11,32|5|2|2|2|1,6,2,169,silent,167
11,32|4|4|2|1|1,6,0,-1,a0,
11,32|4|3|3|1|1,6,0,-1,a0,
11,32|4|3|2|2|1,6,1,260,silent,259
11,32|4|2|2|2|2,6,3,105,silent,102
11,32|3|3|3|2|1,6,0,-1,a0,
11,32|3|3|2|2|2,6,0,-1,a0,
11,31|9|1|1|1|1,6,0,-1,a0,
11,31|8|2|1|1|1,6,0,-1,a0,
11,31|7|3|1|1|1,6,0,-1,a0,
11,31|7|2|2|1|1,6,1,257,silent,256
11,31|6|4|1|1|1,6,0,-1,a0,
11,31|6|3|2|1|1,6,2,726,silent,724
11,31|6|2|2|2|1,6,4,322,silent,318
11,31|5|5|1|1|1,6,1,199,silent,198
11,31|5|4|2|1|1,6,2,701,silent,699
11,31|5|3|3|1|1,6,1,578,silent,577
