delta,lam,ell,a,m_det,class,margin
10,32|1|1|1|1|1|1|1|1,9,0,-1,a0,
10,31|2|1|1|1|1|1|1|1,9,0,-1,a0,
10,30|3|1|1|1|1|1|1|1,9,0,-1,a0,
10,30|2|2|1|1|1|1|1|1,9,0,-1,a0,
10,29|4|1|1|1|1|1|1|1,9,0,-1,a0,
10,29|3|2|1|1|1|1|1|1,9,0,-1,a0,
10,29|2|2|2|1|1|1|1|1,9,0,-1,a0,
10,28|5|1|1|1|1|1|1|1,9,0,-1,a0,
10,28|4|2|1|1|1|1|1|1,9,0,-1,a0,
10,28|3|3|1|1|1|1|1|1,9,0,-1,a0,
10,28|3|2|2|1|1|1|1|1,9,0,-1,a0,
10,28|2|2|2|2|1|1|1|1,9,0,-1,a0,
10,27|6|1|1|1|1|1|1|1,9,0,-1,a0,
10,27|5|2|1|1|1|1|1|1,9,0,-1,a0,
10,27|4|3|1|1|1|1|1|1,9,0,-1,a0,
10,27|4|2|2|1|1|1|1|1,9,0,-1,a0,
10,27|3|3|2|1|1|1|1|1,9,0,-1,a0,
10,27|3|2|2|2|1|1|1|1,9,0,-1,a0,
10,27|2|2|2|2|2|1|1|1,9,0,-1,a0,
10,26|7|1|1|1|1|1|1|1,9,0,-1,a0,
10,26|6|2|1|1|1|1|1|1,9,0,-1,a0,
10,26|5|3|1|1|1|1|1|1,9,0,-1,a0,
10,26|5|2|2|1|1|1|1|1,9,0,-1,a0,
10,26|4|4|1|1|1|1|1|1,9,0,-1,a0,
10,26|4|3|2|1|1|1|1|1,9,0,-1,a0,
10,26|4|2|2|2|1|1|1|1,9,0,-1,a0,
10,26|3|3|3|1|1|1|1|1,9,0,-1,a0,
10,26|3|3|2|2|1|1|1|1,9,0,-1,a0,
10,26|3|2|2|2|2|1|1|1,9,0,-1,a0,
10,26|2|2|2|2|2|2|1|1,9,0,-1,a0,
10,25|8|1|1|1|1|1|1|1,9,0,-1,a0,
10,25|7|2|1|1|1|1|1|1,9,0,-1,a0,
10,25|6|3|1|1|1|1|1|1,9,0,-1,a0,
10,25|6|2|2|1|1|1|1|1,9,0,-1,a0,
10,25|5|4|1|1|1|1|1|1,9,0,-1,a0,
10,25|5|3|2|1|1|1|1|1,9,0,-1,a0,
10,25|5|2|2|2|1|1|1|1,9,0,-1,a0,
10,25|4|4|2|1|1|1|1|1,9,0,-1,a0,
10,25|4|3|3|1|1|1|1|1,9,0,-1,a0,
10,25|4|3|2|2|1|1|1|1,9,0,-1,a0,
10,25|4|2|2|2|2|1|1|1,9,0,-1,a0,
10,25|3|3|3|2|1|1|1|1,9,0,-1,a0,
10,25|3|3|2|2|2|1|1|1,9,0,-1,a0,
10,25|3|2|2|2|2|2|1|1,9,0,-1,a0,
10,25|2|2|2|2|2|2|2|1,9,0,-1,a0,
10,24|9|1|1|1|1|1|1|1,9,0,-1,a0,
10,24|8|2|1|1|1|1|1|1,9,0,-1,a0,
10,24|7|3|1|1|1|1|1|1,9,0,-1,a0,
10,24|7|2|2|1|1|1|1|1,9,0,-1,a0,
10,24|6|4|1|1|1|1|1|1,9,0,-1,a0,
10,24|6|3|2|1|1|1|1|1,9,0,-1,a0,
10,24|6|2|2|2|1|1|1|1,9,0,-1,a0,
10,24|5|5|1|1|1|1|1|1,9,0,-1,a0,
10,24|5|4|2|1|1|1|1|1,9,0,-1,a0,
10,24|5|3|3|1|1|1|1|1,9,0,-1,a0,
10,24|5|3|2|2|1|1|1|1,9,0,-1,a0,
10,24|5|2|2|2|2|1|1|1,9,0,-1,a0,
10,24|4|4|3|1|1|1|1|1,9,0,-1,a0,
10,24|4|4|2|2|1|1|1|1,9,0,-1,a0,
10,24|4|3|3|2|1|1|1|1,9,0,-1,a0,
10,24|4|3|2|2|2|1|1|1,9,0,-1,a0,
10,24|4|2|2|2|2|2|1|1,9,0,-1,a0,
10,24|3|3|3|3|1|1|1|1,9,0,-1,a0,
10,24|3|3|3|2|2|1|1|1,9,0,-1,a0,
10,24|3|3|2|2|2|2|1|1,9,0,-1,a0,
10,24|3|2|2|2|2|2|2|1,9,0,-1,a0,
10,24|2|2|2|2|2|2|2|2,9,1,21,silent,20
10,23|10|1|1|1|1|1|1|1,9,0,-1,a0,
10,23|9|2|1|1|1|1|1|1,9,0,-1,a0,
10,23|8|3|1|1|1|1|1|1,9,0,-1,a0,
10,23|8|2|2|1|1|1|1|1,9,0,-1,a0,
10,23|7|4|1|1|1|1|1|1,9,0,-1,a0,
10,23|7|3|2|1|1|1|1|1,9,0,-1,a0,
10,23|7|2|2|2|1|1|1|1,9,0,-1,a0,
10,23|6|5|1|1|1|1|1|1,9,0,-1,a0,
10,23|6|4|2|1|1|1|1|1,9,0,-1,a0,
10,23|6|3|3|1|1|1|1|1,9,0,-1,a0,
10,23|6|3|2|2|1|1|1|1,9,0,-1,a0,
10,23|6|2|2|2|2|1|1|1,9,0,-1,a0,
10,23|5|5|2|1|1|1|1|1,9,0,-1,a0,
10,23|5|4|3|1|1|1|1|1,9,0,-1,a0,
10,23|5|4|2|2|1|1|1|1,9,0,-1,a0,
10,23|5|3|3|2|1|1|1|1,9,0,-1,a0,
10,23|5|3|2|2|2|1|1|1,9,0,-1,a0,
10,23|5|2|2|2|2|2|1|1,9,0,-1,a0,
10,23|4|4|4|1|1|1|1|1,9,0,-1,a0,
10,23|4|4|3|2|1|1|1|1,9,0,-1,a0,
10,23|4|4|2|2|2|1|1|1,9,0,-1,a0,
10,23|4|3|3|3|1|1|1|1,9,0,-1,a0,
10,23|4|3|3|2|2|1|1|1,9,0,-1,a0,
10,23|4|3|2|2|2|2|1|1,9,0,-1,a0,
10,23|4|2|2|2|2|2|2|1,9,1,352,silent,351
10,23|3|3|3|3|2|1|1|1,9,0,-1,a0,
10,23|3|3|3|2|2|2|1|1,9,0,-1,a0,
10,23|3|3|2|2|2|2|2|1,9,0,-1,a0,
10,23|3|2|2|2|2|2|2|2,9,1,66,silent,65
10,22|11|1|1|1|1|1|1|1,9,0,-1,a0,
10,22|10|2|1|1|1|1|1|1,9,0,-1,a0,
10,22|9|3|1|1|1|1|1|1,9,0,-1,a0,
10,22|9|2|2|1|1|1|1|1,9,0,-1,a0,
10,22|8|4|1|1|1|1|1|1,9,0,-1,a0,
10,22|8|3|2|1|1|1|1|1,9,0,-1,a0,
10,22|8|2|2|2|1|1|1|1,9,0,-1,a0,
10,22|7|5|1|1|1|1|1|1,9,0,-1,a0,
10,22|7|4|2|1|1|1|1|1,9,0,-1,a0,
10,22|7|3|3|1|1|1|1|1,9,0,-1,a0,
10,22|7|3|2|2|1|1|1|1,9,0,-1,a0,
10,22|7|2|2|2|2|1|1|1,9,0,-1,a0,
10,22|6|6|1|1|1|1|1|1,9,0,-1,a0,
10,22|6|5|2|1|1|1|1|1,9,0,-1,a0,
10,22|6|4|3|1|1|1|1|1,9,0,-1,a0,
10,22|6|4|2|2|1|1|1|1,9,0,-1,a0,
10,22|6|3|3|2|1|1|1|1,9,0,-1,a0,
10,22|6|3|2|2|2|1|1|1,9,0,-1,a0,
10,22|6|2|2|2|2|2|1|1,9,0,-1,a0,
10,22|5|5|3|1|1|1|1|1,9,0,-1,a0,
10,22|5|5|2|2|1|1|1|1,9,0,-1,a0,
10,22|5|4|4|1|1|1|1|1,9,0,-1,a0,
10,22|5|4|3|2|1|1|1|1,9,0,-1,a0,
10,22|5|4|2|2|2|1|1|1,9,0,-1,a0,
10,22|5|3|3|3|1|1|1|1,9,0,-1,a0,
10,22|5|3|3|2|2|1|1|1,9,0,-1,a0,
10,22|5|3|2|2|2|2|1|1,9,1,5394,silent,5393
10,22|5|2|2|2|2|2|2|1,9,2,923,silent,921
10,22|4|4|4|2|1|1|1|1,9,0,-1,a0,
10,22|4|4|3|3|1|1|1|1,9,0,-1,a0,
10,22|4|4|3|2|2|1|1|1,9,0,-1,a0,
10,22|4|4|2|2|2|2|1|1,9,0,-1,a0,
10,22|4|3|3|3|2|1|1|1,9,0,-1,a0,
10,22|4|3|3|2|2|2|1|1,9,0,-1,a0,
10,22|4|3|2|2|2|2|2|1,9,1,1593,silent,1592
10,22|4|2|2|2|2|2|2|2,9,2,255,silent,253
10,22|3|3|3|3|3|1|1|1,9,0,-1,a0,
10,22|3|3|3|3|2|2|1|1,9,0,-1,a0,
10,22|3|3|3|2|2|2|2|1,9,0,-1,a0,
10,22|3|3|2|2|2|2|2|2,9,0,-1,a0,
10,21|12|1|1|1|1|1|1|1,9,0,-1,a0,
10,21|11|2|1|1|1|1|1|1,9,0,-1,a0,
10,21|10|3|1|1|1|1|1|1,9,0,-1,a0,
10,21|10|2|2|1|1|1|1|1,9,0,-1,a0,
10,21|9|4|1|1|1|1|1|1,9,0,-1,a0,
10,21|9|3|2|1|1|1|1|1,9,0,-1,a0,
10,21|9|2|2|2|1|1|1|1,9,0,-1,a0,
10,21|8|5|1|1|1|1|1|1,9,0,-1,a0,
10,21|8|4|2|1|1|1|1|1,9,0,-1,a0,
10,21|8|3|3|1|1|1|1|1,9,0,-1,a0,
10,21|8|3|2|2|1|1|1|1,9,0,-1,a0,
10,21|8|2|2|2|2|1|1|1,9,0,-1,a0,
10,21|7|6|1|1|1|1|1|1,9,0,-1,a0,
10,21|7|5|2|1|1|1|1|1,9,0,-1,a0,
10,21|7|4|3|1|1|1|1|1,9,0,-1,a0,
10,21|7|4|2|2|1|1|1|1,9,0,-1,a0,
10,21|7|3|3|2|1|1|1|1,9,0,-1,a0,
10,21|7|3|2|2|2|1|1|1,9,0,-1,a0,
10,21|7|2|2|2|2|2|1|1,9,1,3787,silent,3786
10,21|6|6|2|1|1|1|1|1,9,0,-1,a0,
10,21|6|5|3|1|1|1|1|1,9,0,-1,a0,
10,21|6|5|2|2|1|1|1|1,9,0,-1,a0,
10,21|6|4|4|1|1|1|1|1,9,0,-1,a0,
10,21|6|4|3|2|1|1|1|1,9,0,-1,a0,
10,21|6|4|2|2|2|1|1|1,9,0,-1,a0,
10,21|6|3|3|3|1|1|1|1,9,0,-1,a0,
10,21|6|3|3|2|2|1|1|1,9,1,27252,silent,27251
10,21|6|3|2|2|2|2|1|1,9,2,12700,silent,12698
10,21|6|2|2|2|2|2|2|1,9,3,2017,silent,2014
10,21|5|5|4|1|1|1|1|1,9,0,-1,a0,
10,21|5|5|3|2|1|1|1|1,9,0,-1,a0,
10,21|5|5|2|2|2|1|1|1,9,1,14736,silent,14735
10,21|5|4|4|2|1|1|1|1,9,0,-1,a0,
10,21|5|4|3|3|1|1|1|1,9,0,-1,a0,
10,21|5|4|3|2|2|1|1|1,9,0,-1,a0,
10,21|5|4|2|2|2|2|1|1,9,2,14029,silent,14027
10,21|5|3|3|3|2|1|1|1,9,0,-1,a0,
10,21|5|3|3|2|2|2|1|1,9,1,15286,silent,15285
10,21|5|3|2|2|2|2|2|1,9,3,5006,silent,5003
10,21|5|2|2|2|2|2|2|2,9,2,591,silent,589
10,21|4|4|4|3|1|1|1|1,9,0,-1,a0,
10,21|4|4|4|2|2|1|1|1,9,0,-1,a0,
10,21|4|4|3|3|2|1|1|1,9,0,-1,a0,
10,21|4|4|3|2|2|2|1|1,9,0,-1,a0,
10,21|4|4|2|2|2|2|2|1,9,2,3182,silent,3180
10,21|4|3|3|3|3|1|1|1,9,0,-1,a0,
10,21|4|3|3|3|2|2|1|1,9,0,-1,a0,
10,21|4|3|3|2|2|2|2|1,9,0,-1,a0,
10,21|4|3|2|2|2|2|2|2,9,1,939,silent,938
10,21|3|3|3|3|3|2|1|1,9,0,-1,a0,
10,21|3|3|3|3|2|2|2|1,9,0,-1,a0,
10,21|3|3|3|2|2|2|2|2,9,0,-1,a0,
10,20|13|1|1|1|1|1|1|1,9,0,-1,a0,
10,20|12|2|1|1|1|1|1|1,9,0,-1,a0,
10,20|11|3|1|1|1|1|1|1,9,0,-1,a0,
10,20|11|2|2|1|1|1|1|1,9,0,-1,a0,
10,20|10|4|1|1|1|1|1|1,9,0,-1,a0,
10,20|10|3|2|1|1|1|1|1,9,0,-1,a0,
10,20|10|2|2|2|1|1|1|1,9,0,-1,a0,
10,20|9|5|1|1|1|1|1|1,9,0,-1,a0,
10,20|9|4|2|1|1|1|1|1,9,0,-1,a0,
10,20|9|3|3|1|1|1|1|1,9,0,-1,a0,
10,20|9|3|2|2|1|1|1|1,9,0,-1,a0,
10,20|9|2|2|2|2|1|1|1,9,0,-1,a0,
10,20|8|6|1|1|1|1|1|1,9,0,-1,a0,
10,20|8|5|2|1|1|1|1|1,9,0,-1,a0,
10,20|8|4|3|1|1|1|1|1,9,0,-1,a0,
10,20|8|4|2|2|1|1|1|1,9,0,-1,a0,
10,20|8|3|3|2|1|1|1|1,9,0,-1,a0,
10,20|8|3|2|2|2|1|1|1,9,1,31433,silent,31432
10,20|8|2|2|2|2|2|1|1,9,1,6087,silent,6086
10,20|7|7|1|1|1|1|1|1,9,0,-1,a0,
10,20|7|6|2|1|1|1|1|1,9,0,-1,a0,
10,20|7|5|3|1|1|1|1|1,9,0,-1,a0,
10,20|7|5|2|2|1|1|1|1,9,0,-1,a0,
10,20|7|4|4|1|1|1|1|1,9,0,-1,a0,
10,20|7|4|3|2|1|1|1|1,9,0,-1,a0,
10,20|7|4|2|2|2|1|1|1,9,1,59758,silent,59757
10,20|7|3|3|3|1|1|1|1,9,1,32477,silent,32476
10,20|7|3|3|2|2|1|1|1,9,2,54926,silent,54924
10,20|7|3|2|2|2|2|1|1,9,5,25006,silent,25001
10,20|7|2|2|2|2|2|2|1,9,4,3722,silent,3718
10,20|6|6|3|1|1|1|1|1,9,0,-1,a0,
10,20|6|6|2|2|1|1|1|1,9,0,-1,a0,
10,20|6|5|4|1|1|1|1|1,9,0,-1,a0,
10,20|6|5|3|2|1|1|1|1,9,1,102420,silent,102419
10,20|6|5|2|2|2|1|1|1,9,2,53420,silent,53418
10,20|6|4|4|2|1|1|1|1,9,0,-1,a0,
10,20|6|4|3|3|1|1|1|1,9,0,-1,a0,
10,20|6|4|3|2|2|1|1|1,9,2,107271,silent,107269
10,20|6|4|2|2|2|2|1|1,9,4,38341,silent,38337
10,20|6|3|3|3|2|1|1|1,9,1,44487,silent,44486
10,20|6|3|3|2|2|2|1|1,9,3,38490,silent,38487
10,20|6|3|2|2|2|2|2|1,9,5,12114,silent,12109
