delta,lam,ell,a,m_det,class,margin
8,25|1|1|1|1|1|1|1,8,0,-1,a0,
8,24|2|1|1|1|1|1|1,8,0,-1,a0,
8,23|3|1|1|1|1|1|1,8,0,-1,a0,
8,23|2|2|1|1|1|1|1,8,0,-1,a0,
8,22|4|1|1|1|1|1|1,8,0,-1,a0,
8,22|3|2|1|1|1|1|1,8,0,-1,a0,
8,22|2|2|2|1|1|1|1,8,0,-1,a0,
8,21|5|1|1|1|1|1|1,8,0,-1,a0,
8,21|4|2|1|1|1|1|1,8,0,-1,a0,
8,21|3|3|1|1|1|1|1,8,0,-1,a0,
8,21|3|2|2|1|1|1|1,8,0,-1,a0,
8,21|2|2|2|2|1|1|1,8,0,-1,a0,
8,20|6|1|1|1|1|1|1,8,0,-1,a0,
8,20|5|2|1|1|1|1|1,8,0,-1,a0,
8,20|4|3|1|1|1|1|1,8,0,-1,a0,
8,20|4|2|2|1|1|1|1,8,0,-1,a0,
8,20|3|3|2|1|1|1|1,8,0,-1,a0,
8,20|3|2|2|2|1|1|1,8,0,-1,a0,
8,20|2|2|2|2|2|1|1,8,0,-1,a0,
8,19|7|1|1|1|1|1|1,8,0,-1,a0,
8,19|6|2|1|1|1|1|1,8,0,-1,a0,
8,19|5|3|1|1|1|1|1,8,0,-1,a0,
8,19|5|2|2|1|1|1|1,8,0,-1,a0,
8,19|4|4|1|1|1|1|1,8,0,-1,a0,
8,19|4|3|2|1|1|1|1,8,0,-1,a0,
8,19|4|2|2|2|1|1|1,8,0,-1,a0,
8,19|3|3|3|1|1|1|1,8,0,-1,a0,
8,19|3|3|2|2|1|1|1,8,0,-1,a0,
8,19|3|2|2|2|2|1|1,8,0,-1,a0,
8,19|2|2|2|2|2|2|1,8,0,-1,a0,
8,18|8|1|1|1|1|1|1,8,0,-1,a0,
8,18|7|2|1|1|1|1|1,8,0,-1,a0,
8,18|6|3|1|1|1|1|1,8,0,-1,a0,
8,18|6|2|2|1|1|1|1,8,0,-1,a0,
8,18|5|4|1|1|1|1|1,8,0,-1,a0,
8,18|5|3|2|1|1|1|1,8,0,-1,a0,
8,18|5|2|2|2|1|1|1,8,0,-1,a0,
8,18|4|4|2|1|1|1|1,8,0,-1,a0,
8,18|4|3|3|1|1|1|1,8,0,-1,a0,
8,18|4|3|2|2|1|1|1,8,0,-1,a0,
8,18|4|2|2|2|2|1|1,8,0,-1,a0,
8,18|3|3|3|2|1|1|1,8,0,-1,a0,
8,18|3|3|2|2|2|1|1,8,0,-1,a0,
8,18|3|2|2|2|2|2|1,8,0,-1,a0,
8,18|2|2|2|2|2|2|2,8,1,21,silent,20
8,17|9|1|1|1|1|1|1,8,0,-1,a0,
8,17|8|2|1|1|1|1|1,8,0,-1,a0,
8,17|7|3|1|1|1|1|1,8,0,-1,a0,
8,17|7|2|2|1|1|1|1,8,0,-1,a0,
8,17|6|4|1|1|1|1|1,8,0,-1,a0,
8,17|6|3|2|1|1|1|1,8,0,-1,a0,
8,17|6|2|2|2|1|1|1,8,0,-1,a0,
8,17|5|5|1|1|1|1|1,8,0,-1,a0,
8,17|5|4|2|1|1|1|1,8,0,-1,a0,
8,17|5|3|3|1|1|1|1,8,0,-1,a0,
8,17|5|3|2|2|1|1|1,8,0,-1,a0,
8,17|5|2|2|2|2|1|1,8,0,-1,a0,
8,17|4|4|3|1|1|1|1,8,0,-1,a0,
8,17|4|4|2|2|1|1|1,8,0,-1,a0,
8,17|4|3|3|2|1|1|1,8,0,-1,a0,
8,17|4|3|2|2|2|1|1,8,0,-1,a0,
8,17|4|2|2|2|2|2|1,8,1,281,silent,280
8,17|3|3|3|3|1|1|1,8,0,-1,a0,
8,17|3|3|3|2|2|1|1,8,0,-1,a0,
8,17|3|3|2|2|2|2|1,8,0,-1,a0,
8,17|3|2|2|2|2|2|2,8,0,-1,a0,
8,16|10|1|1|1|1|1|1,8,0,-1,a0,
8,16|9|2|1|1|1|1|1,8,0,-1,a0,
8,16|8|3|1|1|1|1|1,8,0,-1,a0,
8,16|8|2|2|1|1|1|1,8,0,-1,a0,
8,16|7|4|1|1|1|1|1,8,0,-1,a0,
8,16|7|3|2|1|1|1|1,8,0,-1,a0,
8,16|7|2|2|2|1|1|1,8,0,-1,a0,
