delta,lam,ell,a,m_det,class,margin
9,31|1|1|1|1|1,6,0,-1,a0,
9,30|2|1|1|1|1,6,0,-1,a0,
9,29|3|1|1|1|1,6,0,-1,a0,
9,29|2|2|1|1|1,6,0,-1,a0,
9,28|4|1|1|1|1,6,0,-1,a0,
9,28|3|2|1|1|1,6,0,-1,a0,
9,28|2|2|2|1|1,6,0,-1,a0,
9,27|5|1|1|1|1,6,0,-1,a0,
9,27|4|2|1|1|1,6,0,-1,a0,
9,27|3|3|1|1|1,6,0,-1,a0,
9,27|3|2|2|1|1,6,0,-1,a0,
9,27|2|2|2|2|1,6,0,-1,a0,
9,26|6|1|1|1|1,6,0,-1,a0,
9,26|5|2|1|1|1,6,0,-1,a0,
9,26|4|3|1|1|1,6,0,-1,a0,
9,26|4|2|2|1|1,6,0,-1,a0,
9,26|3|3|2|1|1,6,0,-1,a0,
9,26|3|2|2|2|1,6,0,-1,a0,
9,26|2|2|2|2|2,6,1,13,silent,12
9,25|7|1|1|1|1,6,0,-1,a0,
9,25|6|2|1|1|1,6,0,-1,a0,
9,25|5|3|1|1|1,6,0,-1,a0,
9,25|5|2|2|1|1,6,0,-1,a0,
9,25|4|4|1|1|1,6,0,-1,a0,
9,25|4|3|2|1|1,6,0,-1,a0,
9,25|4|2|2|2|1,6,1,78,silent,77
9,25|3|3|3|1|1,6,0,-1,a0,
9,25|3|3|2|2|1,6,0,-1,a0,
9,25|3|2|2|2|2,6,1,30,silent,29
9,24|8|1|1|1|1,6,0,-1,a0,
9,24|7|2|1|1|1,6,0,-1,a0,
9,24|6|3|1|1|1,6,0,-1,a0,
9,24|6|2|2|1|1,6,0,-1,a0,
9,24|5|4|1|1|1,6,0,-1,a0,
9,24|5|3|2|1|1,6,1,375,silent,374
9,24|5|2|2|2|1,6,2,169,silent,167
9,24|4|4|2|1|1,6,0,-1,a0,
9,24|4|3|3|1|1,6,0,-1,a0,
9,24|4|3|2|2|1,6,1,260,silent,259
9,24|4|2|2|2|2,6,3,105,silent,102
9,24|3|3|3|2|1,6,0,-1,a0,
9,24|3|3|2|2|2,6,0,-1,a0,
9,23|9|1|1|1|1,6,0,-1,a0,
9,23|8|2|1|1|1,6,0,-1,a0,
9,23|7|3|1|1|1,6,0,-1,a0,
9,23|7|2|2|1|1,6,1,257,silent,256
9,23|6|4|1|1|1,6,0,-1,a0,
9,23|6|3|2|1|1,6,2,726,silent,724
9,23|6|2|2|2|1,6,4,322,silent,318
9,23|5|5|1|1|1,6,1,199,silent,198
9,23|5|4|2|1|1,6,2,701,silent,699
9,23|5|3|3|1|1,6,1,578,silent,577
9,23|5|3|2|2|1,6,4,692,silent,688
9,23|5|2|2|2|2,6,4,197,silent,193
9,23|4|4|3|1|1,6,0,-1,a0,
9,23|4|4|2|2|1,6,3,426,silent,423
9,23|4|3|3|2|1,6,0,-1,a0,
9,23|4|3|2|2|2,6,2,270,silent,268
9,23|3|3|3|3|1,6,0,-1,a0,
9,23|3|3|3|2|2,6,0,-1,a0,
9,22|10|1|1|1|1,6,0,-1,a0,
9,22|9|2|1|1|1,6,0,-1,a0,
9,22|8|3|1|1|1,6,1,474,silent,473
9,22|8|2|2|1|1,6,1,356,silent,355
9,22|7|4|1|1|1,6,1,668,silent,667
9,22|7|3|2|1|1,6,5,1257,silent,1252
9,22|7|2|2|2|1,6,7,530,silent,523
9,22|6|5|1|1|1,6,1,549,silent,548
9,22|6|4|2|1|1,6,5,1607,silent,1602
9,22|6|3|3|1|1,6,3,1227,silent,1224
9,22|6|3|2|2|1,6,9,1465,silent,1456
9,22|6|2|2|2|2,6,8,408,silent,400
9,22|5|5|2|1|1,6,5,873,silent,868
9,22|5|4|3|1|1,6,4,1457,silent,1453
9,22|5|4|2|2|1,6,9,1535,silent,1526
9,22|5|3|3|2|1,6,2,1385,silent,1383
9,22|5|3|2|2|2,6,4,724,silent,720
9,22|4|4|4|1|1,6,0,-1,a0,
9,22|4|4|3|2|1,6,2,1019,silent,1017
9,22|4|4|2|2|2,6,6,539,silent,533
9,22|4|3|3|3|1,6,0,-1,a0,
9,22|4|3|3|2|2,6,0,-1,a0,
9,22|3|3|3|3|2,6,0,-1,a0,
9,21|11|1|1|1|1,6,0,-1,a0,
9,21|10|2|1|1|1,6,0,-1,a0,
9,21|9|3|1|1|1,6,1,628,silent,627
9,21|9|2|2|1|1,6,3,497,silent,494
9,21|8|4|1|1|1,6,2,1034,silent,1032
9,21|8|3|2|1|1,6,9,1893,silent,1884
9,21|8|2|2|2|1,6,10,787,silent,777
9,21|7|5|1|1|1,6,4,1170,silent,1166
9,21|7|4|2|1|1,6,14,3140,silent,3126
9,21|7|3|3|1|1,6,6,2181,silent,2175
9,21|7|3|2|2|1,6,17,2608,silent,2591
9,21|7|2|2|2|2,6,10,627,silent,617
9,21|6|6|1|1|1,6,0,-1,a0,
9,21|6|5|2|1|1,6,11,2672,silent,2661
9,21|6|4|3|1|1,6,10,3639,silent,3629
9,21|6|4|2|2|1,6,23,3784,silent,3761
9,21|6|3|3|2|1,6,6,3132,silent,3126
9,21|6|3|2|2|2,6,11,1643,silent,1632
