delta,lam,ell,a,m_det,class,margin
10,25|4|4|3|3|1,6,0,-1,a0,
10,25|4|4|3|2|2,6,4,1301,silent,1297
10,25|4|3|3|3|2,6,0,-1,a0,
10,25|3|3|3|3|3,6,0,-1,a0,
10,24|12|1|1|1|1,6,0,-1,a0,
10,24|11|2|1|1|1,6,0,-1,a0,
10,24|10|3|1|1|1,6,2,854,silent,852
10,24|10|2|2|1|1,6,3,648,silent,645
10,24|9|4|1|1|1,6,4,1578,silent,1574
10,24|9|3|2|1|1,6,15,2798,silent,2783
10,24|9|2|2|2|1,6,16,1134,silent,1118
10,24|8|5|1|1|1,6,8,2057,silent,2049
10,24|8|4|2|1|1,6,24,5256,silent,5232
10,24|8|3|3|1|1,6,14,3604,silent,3590
10,24|8|3|2|2|1,6,30,4262,silent,4232
10,24|8|2|2|2|2,6,19,1033,silent,1014
10,24|7|6|1|1|1,6,4,1467,silent,1463
10,24|7|5|2|1|1,6,30,6058,silent,6028
10,24|7|4|3|1|1,6,26,7481,silent,7455
10,24|7|4|2|2|1,6,46,7522,silent,7476
10,24|7|3|3|2|1,6,15,6026,silent,6011
10,24|7|3|2|2|2,6,20,3028,silent,3008
10,24|6|6|2|1|1,6,7,2549,silent,2542
10,24|6|5|3|1|1,6,24,6912,silent,6888
10,24|6|5|2|2|1,6,33,6379,silent,6346
10,24|6|4|4|1|1,6,12,3974,silent,3962
10,24|6|4|3|2|1,6,34,11140,silent,11106
10,24|6|4|2|2|2,6,32,4689,silent,4657
10,24|6|3|3|3|1,6,1,3376,silent,3375
10,24|6|3|3|2|2,6,4,3729,silent,3725
10,24|5|5|4|1|1,6,13,2875,silent,2862
10,24|5|5|3|2|1,6,16,5970,silent,5954
10,24|5|5|2|2|2,6,5,2071,silent,2066
10,24|5|4|4|2|1,6,19,5000,silent,4981
10,24|5|4|3|3|1,6,5,4797,silent,4792
10,24|5|4|3|2|2,6,12,5398,silent,5386
10,24|5|3|3|3|2,6,0,-1,a0,
10,24|4|4|4|3|1,6,3,1459,silent,1456
10,24|4|4|4|2|2,6,10,1606,silent,1596
10,24|4|4|3|3|2,6,0,-1,a0,
10,24|4|3|3|3|3,6,0,-1,a0,
10,23|13|1|1|1|1,6,0,-1,a0,
10,23|12|2|1|1|1,6,0,-1,a0,
10,23|11|3|1|1|1,6,2,1009,silent,1007
10,23|11|2|2|1|1,6,6,801,silent,795
10,23|10|4|1|1|1,6,6,2083,silent,2077
10,23|10|3|2|1|1,6,21,3640,silent,3619
10,23|10|2|2|2|1,6,21,1463,silent,1442
10,23|9|5|1|1|1,6,13,3203,silent,3190
10,23|9|4|2|1|1,6,43,7986,silent,7943
10,23|9|3|3|1|1,6,19,5235,silent,5216
10,23|9|3|2|2|1,6,47,6210,silent,6163
10,23|9|2|2|2|2,6,21,1373,silent,1352
10,23|8|6|1|1|1,6,9,2956,silent,2947
10,23|8|5|2|1|1,6,55,10978,silent,10923
10,23|8|4|3|1|1,6,49,13002,silent,12953
10,23|8|4|2|2|1,6,81,12958,silent,12877
10,23|8|3|3|2|1,6,30,10123,silent,10093
10,23|8|3|2|2|2,6,35,5046,silent,5011
10,23|7|7|1|1|1,6,7,1345,silent,1338
10,23|7|6|2|1|1,6,37,8210,silent,8173
10,23|7|5|3|1|1,6,61,16288,silent,16227
10,23|7|5|2|2|1,6,73,14720,silent,14647
10,23|7|4|4|1|1,6,35,8908,silent,8873
10,23|7|4|3|2|1,6,75,23428,silent,23353
10,23|7|4|2|2|2,6,51,9266,silent,9215
10,23|7|3|3|3|1,6,4,6723,silent,6719
10,23|7|3|3|2|2,6,13,7518,silent,7505
10,23|6|6|3|1|1,6,19,7332,silent,7313
10,23|6|6|2|2|1,6,35,6799,silent,6764
10,23|6|5|4|1|1,6,36,10671,silent,10635
10,23|6|5|3|2|1,6,63,21904,silent,21841
10,23|6|5|2|2|2,6,35,7883,silent,7848
10,23|6|4|4|2|1,6,53,14612,silent,14559
