delta,lam,ell,a,m_det,class,margin
11,38|1|1|1|1|1|1,7,0,-1,a0,
11,37|2|1|1|1|1|1,7,0,-1,a0,
11,36|3|1|1|1|1|1,7,0,-1,a0,
11,36|2|2|1|1|1|1,7,0,-1,a0,
11,35|4|1|1|1|1|1,7,0,-1,a0,
11,35|3|2|1|1|1|1,7,0,-1,a0,
11,35|2|2|2|1|1|1,7,0,-1,a0,
11,34|5|1|1|1|1|1,7,0,-1,a0,
11,34|4|2|1|1|1|1,7,0,-1,a0,
11,34|3|3|1|1|1|1,7,0,-1,a0,
11,34|3|2|2|1|1|1,7,0,-1,a0,
11,34|2|2|2|2|1|1,7,0,-1,a0,
11,33|6|1|1|1|1|1,7,0,-1,a0,
11,33|5|2|1|1|1|1,7,0,-1,a0,
11,33|4|3|1|1|1|1,7,0,-1,a0,
11,33|4|2|2|1|1|1,7,0,-1,a0,
11,33|3|3|2|1|1|1,7,0,-1,a0,
11,33|3|2|2|2|1|1,7,0,-1,a0,
11,33|2|2|2|2|2|1,7,0,-1,a0,
11,32|7|1|1|1|1|1,7,0,-1,a0,
11,32|6|2|1|1|1|1,7,0,-1,a0,
11,32|5|3|1|1|1|1,7,0,-1,a0,
11,32|5|2|2|1|1|1,7,0,-1,a0,
11,32|4|4|1|1|1|1,7,0,-1,a0,
11,32|4|3|2|1|1|1,7,0,-1,a0,
11,32|4|2|2|2|1|1,7,0,-1,a0,
11,32|3|3|3|1|1|1,7,0,-1,a0,
11,32|3|3|2|2|1|1,7,0,-1,a0,
11,32|3|2|2|2|2|1,7,0,-1,a0,
11,32|2|2|2|2|2|2,7,1,18,silent,17
11,31|8|1|1|1|1|1,7,0,-1,a0,
11,31|7|2|1|1|1|1,7,0,-1,a0,
11,31|6|3|1|1|1|1,7,0,-1,a0,
11,31|6|2|2|1|1|1,7,0,-1,a0,
11,31|5|4|1|1|1|1,7,0,-1,a0,
11,31|5|3|2|1|1|1,7,0,-1,a0,
11,31|5|2|2|2|1|1,7,0,-1,a0,
11,31|4|4|2|1|1|1,7,0,-1,a0,
11,31|4|3|3|1|1|1,7,0,-1,a0,
11,31|4|3|2|2|1|1,7,0,-1,a0,
11,31|4|2|2|2|2|1,7,1,179,silent,178
11,31|3|3|3|2|1|1,7,0,-1,a0,
11,31|3|3|2|2|2|1,7,0,-1,a0,
11,31|3|2|2|2|2|2,7,1,50,silent,49
11,30|9|1|1|1|1|1,7,0,-1,a0,
11,30|8|2|1|1|1|1,7,0,-1,a0,
11,30|7|3|1|1|1|1,7,0,-1,a0,
11,30|7|2|2|1|1|1,7,0,-1,a0,
11,30|6|4|1|1|1|1,7,0,-1,a0,
