delta,lam,ell,a,m_det,class,margin
9,28|1|1|1|1|1|1|1|1,9,0,-1,a0,
9,27|2|1|1|1|1|1|1|1,9,0,-1,a0,
9,26|3|1|1|1|1|1|1|1,9,0,-1,a0,
9,26|2|2|1|1|1|1|1|1,9,0,-1,a0,
9,25|4|1|1|1|1|1|1|1,9,0,-1,a0,
9,25|3|2|1|1|1|1|1|1,9,0,-1,a0,
9,25|2|2|2|1|1|1|1|1,9,0,-1,a0,
9,24|5|1|1|1|1|1|1|1,9,0,-1,a0,
9,24|4|2|1|1|1|1|1|1,9,0,-1,a0,
9,24|3|3|1|1|1|1|1|1,9,0,-1,a0,
9,24|3|2|2|1|1|1|1|1,9,0,-1,a0,
9,24|2|2|2|2|1|1|1|1,9,0,-1,a0,
9,23|6|1|1|1|1|1|1|1,9,0,-1,a0,
9,23|5|2|1|1|1|1|1|1,9,0,-1,a0,
9,23|4|3|1|1|1|1|1|1,9,0,-1,a0,
9,23|4|2|2|1|1|1|1|1,9,0,-1,a0,
9,23|3|3|2|1|1|1|1|1,9,0,-1,a0,
9,23|3|2|2|2|1|1|1|1,9,0,-1,a0,
9,23|2|2|2|2|2|1|1|1,9,0,-1,a0,
9,22|7|1|1|1|1|1|1|1,9,0,-1,a0,
9,22|6|2|1|1|1|1|1|1,9,0,-1,a0,
9,22|5|3|1|1|1|1|1|1,9,0,-1,a0,
9,22|5|2|2|1|1|1|1|1,9,0,-1,a0,
9,22|4|4|1|1|1|1|1|1,9,0,-1,a0,
9,22|4|3|2|1|1|1|1|1,9,0,-1,a0,
9,22|4|2|2|2|1|1|1|1,9,0,-1,a0,
9,22|3|3|3|1|1|1|1|1,9,0,-1,a0,
9,22|3|3|2|2|1|1|1|1,9,0,-1,a0,
9,22|3|2|2|2|2|1|1|1,9,0,-1,a0,
9,22|2|2|2|2|2|2|1|1,9,0,-1,a0,
9,21|8|1|1|1|1|1|1|1,9,0,-1,a0,
9,21|7|2|1|1|1|1|1|1,9,0,-1,a0,
9,21|6|3|1|1|1|1|1|1,9,0,-1,a0,
9,21|6|2|2|1|1|1|1|1,9,0,-1,a0,
9,21|5|4|1|1|1|1|1|1,9,0,-1,a0,
9,21|5|3|2|1|1|1|1|1,9,0,-1,a0,
9,21|5|2|2|2|1|1|1|1,9,0,-1,a0,
