delta,lam,ell,a,m_det,class,margin
8,26|1|1|1|1|1|1,7,0,-1,a0,
8,25|2|1|1|1|1|1,7,0,-1,a0,
8,24|3|1|1|1|1|1,7,0,-1,a0,
8,24|2|2|1|1|1|1,7,0,-1,a0,
8,23|4|1|1|1|1|1,7,0,-1,a0,
8,23|3|2|1|1|1|1,7,0,-1,a0,
8,23|2|2|2|1|1|1,7,0,-1,a0,
8,22|5|1|1|1|1|1,7,0,-1,a0,
8,22|4|2|1|1|1|1,7,0,-1,a0,
8,22|3|3|1|1|1|1,7,0,-1,a0,
8,22|3|2|2|1|1|1,7,0,-1,a0,
8,22|2|2|2|2|1|1,7,0,-1,a0,
8,21|6|1|1|1|1|1,7,0,-1,a0,
8,21|5|2|1|1|1|1,7,0,-1,a0,
8,21|4|3|1|1|1|1,7,0,-1,a0,
8,21|4|2|2|1|1|1,7,0,-1,a0,
8,21|3|3|2|1|1|1,7,0,-1,a0,
8,21|3|2|2|2|1|1,7,0,-1,a0,
8,21|2|2|2|2|2|1,7,0,-1,a0,
8,20|7|1|1|1|1|1,7,0,-1,a0,
8,20|6|2|1|1|1|1,7,0,-1,a0,
8,20|5|3|1|1|1|1,7,0,-1,a0,
8,20|5|2|2|1|1|1,7,0,-1,a0,
8,20|4|4|1|1|1|1,7,0,-1,a0,
8,20|4|3|2|1|1|1,7,0,-1,a0,
8,20|4|2|2|2|1|1,7,0,-1,a0,
8,20|3|3|3|1|1|1,7,0,-1,a0,
8,20|3|3|2|2|1|1,7,0,-1,a0,
8,20|3|2|2|2|2|1,7,0,-1,a0,
8,20|2|2|2|2|2|2,7,1,18,silent,17
8,19|8|1|1|1|1|1,7,0,-1,a0,
8,19|7|2|1|1|1|1,7,0,-1,a0,
8,19|6|3|1|1|1|1,7,0,-1,a0,
8,19|6|2|2|1|1|1,7,0,-1,a0,
8,19|5|4|1|1|1|1,7,0,-1,a0,
8,19|5|3|2|1|1|1,7,0,-1,a0,
8,19|5|2|2|2|1|1,7,0,-1,a0,
8,19|4|4|2|1|1|1,7,0,-1,a0,
8,19|4|3|3|1|1|1,7,0,-1,a0,
8,19|4|3|2|2|1|1,7,0,-1,a0,
8,19|4|2|2|2|2|1,7,1,179,silent,178
8,19|3|3|3|2|1|1,7,0,-1,a0,
8,19|3|3|2|2|2|1,7,0,-1,a0,
8,19|3|2|2|2|2|2,7,1,50,silent,49
8,18|9|1|1|1|1|1,7,0,-1,a0,
8,18|8|2|1|1|1|1,7,0,-1,a0,
8,18|7|3|1|1|1|1,7,0,-1,a0,
8,18|7|2|2|1|1|1,7,0,-1,a0,
8,18|6|4|1|1|1|1,7,0,-1,a0,
8,18|6|3|2|1|1|1,7,0,-1,a0,
8,18|6|2|2|2|1|1,7,0,-1,a0,
8,18|5|5|1|1|1|1,7,0,-1,a0,
8,18|5|4|2|1|1|1,7,0,-1,a0,
8,18|5|3|3|1|1|1,7,0,-1,a0,
8,18|5|3|2|2|1|1,7,1,1366,silent,1365
8,18|5|2|2|2|2|1,7,2,424,silent,422
8,18|4|4|3|1|1|1,7,0,-1,a0,
8,18|4|4|2|2|1|1,7,0,-1,a0,
8,18|4|3|3|2|1|1,7,0,-1,a0,
8,18|4|3|2|2|2|1,7,1,680,silent,679
8,18|4|2|2|2|2|2,7,2,178,silent,176
8,18|3|3|3|3|1|1,7,0,-1,a0,
8,18|3|3|3|2|2|1,7,0,-1,a0,
8,18|3|3|2|2|2|2,7,0,-1,a0,
8,17|10|1|1|1|1|1,7,0,-1,a0,
8,17|9|2|1|1|1|1,7,0,-1,a0,
8,17|8|3|1|1|1|1,7,0,-1,a0,
8,17|8|2|2|1|1|1,7,0,-1,a0,
8,17|7|4|1|1|1|1,7,0,-1,a0,
8,17|7|3|2|1|1|1,7,0,-1,a0,
8,17|7|2|2|2|1|1,7,1,901,silent,900
8,17|6|5|1|1|1|1,7,0,-1,a0,
8,17|6|4|2|1|1|1,7,0,-1,a0,
8,17|6|3|3|1|1|1,7,1,2196,silent,2195
8,17|6|3|2|2|1|1,7,2,2827,silent,2825
8,17|6|2|2|2|2|1,7,3,828,silent,825
8,17|5|5|2|1|1|1,7,1,1542,silent,1541
8,17|5|4|3|1|1|1,7,0,-1,a0,
8,17|5|4|2|2|1|1,7,2,3019,silent,3017
