delta,lam,ell,a,m_det,class,margin
8,17|5|3|3|2|1|1,7,1,2944,silent,2943
8,17|5|3|2|2|2|1,7,3,1924,silent,1921
8,17|5|2|2|2|2|2,7,2,375,silent,373
8,17|4|4|4|1|1|1,7,0,-1,a0,
8,17|4|4|3|2|1|1,7,0,-1,a0,
8,17|4|4|2|2|2|1,7,2,1210,silent,1208
8,17|4|3|3|3|1|1,7,0,-1,a0,
8,17|4|3|3|2|2|1,7,0,-1,a0,
8,17|4|3|2|2|2|2,7,1,564,silent,563
8,17|3|3|3|3|2|1,7,0,-1,a0,
8,17|3|3|3|2|2|2,7,0,-1,a0,
8,16|11|1|1|1|1|1,7,0,-1,a0,
8,16|10|2|1|1|1|1,7,0,-1,a0,
8,16|9|3|1|1|1|1,7,0,-1,a0,
8,16|9|2|2|1|1|1,7,0,-1,a0,
8,16|8|4|1|1|1|1,7,0,-1,a0,
8,16|8|3|2|1|1|1,7,1,2966,silent,2965
8,16|8|2|2|2|1|1,7,1,1210,silent,1209
8,16|7|5|1|1|1|1,7,0,-1,a0,
8,16|7|4|2|1|1|1,7,1,5274,silent,5273
8,16|7|3|3|1|1|1,7,1,3695,silent,3694
8,16|7|3|2|2|1|1,7,5,4783,silent,4778
8,16|7|2|2|2|2|1,7,4,1328,silent,1324
8,16|6|6|1|1|1|1,7,0,-1,a0,
8,16|6|5|2|1|1|1,7,2,4627,silent,4625
8,16|6|4|3|1|1|1,7,2,6610,silent,6608
8,16|6|4|2|2|1|1,7,4,7068,silent,7064
8,16|6|3|3|2|1|1,7,3,6403,silent,6400
8,16|6|3|2|2|2|1,7,5,4107,silent,4102
8,16|6|2|2|2|2|2,7,4,763,silent,759
8,16|5|5|3|1|1|1,7,2,3645,silent,3643
8,16|5|5|2|2|1|1,7,4,3739,silent,3735
8,16|5|4|4|1|1|1,7,0,-1,a0,
8,16|5|4|3|2|1|1,7,3,8630,silent,8627
8,16|5|4|2|2|2|1,7,5,4548,silent,4543
8,16|5|3|3|3|1|1,7,0,-1,a0,
8,16|5|3|3|2|2|1,7,1,4482,silent,4481
8,16|5|3|2|2|2|2,7,1,1590,silent,1589
8,16|4|4|4|2|1|1,7,0,-1,a0,
8,16|4|4|3|3|1|1,7,0,-1,a0,
8,16|4|4|3|2|2|1,7,1,3477,silent,3476
8,16|4|4|2|2|2|2,7,3,1125,silent,1122
8,16|4|3|3|3|2|1,7,0,-1,a0,
8,16|4|3|3|2|2|2,7,0,-1,a0,
8,16|3|3|3|3|3|1,7,0,-1,a0,
8,16|3|3|3|3|2|2,7,0,-1,a0,
8,15|12|1|1|1|1|1,7,0,-1,a0,
8,15|11|2|1|1|1|1,7,0,-1,a0,
8,15|10|3|1|1|1|1,7,0,-1,a0,
8,15|10|2|2|1|1|1,7,0,-1,a0,
8,15|9|4|1|1|1|1,7,0,-1,a0,
8,15|9|3|2|1|1|1,7,2,3476,silent,3474
8,15|9|2|2|2|1|1,7,2,1446,silent,1444
8,15|8|5|1|1|1|1,7,1,2695,silent,2694
8,15|8|4|2|1|1|1,7,3,7450,silent,7447
8,15|8|3|3|1|1|1,7,3,5104,silent,5101
8,15|8|3|2|2|1|1,7,6,6571,silent,6565
8,15|8|2|2|2|2|1,7,5,1793,silent,1788
8,15|7|6|1|1|1|1,7,0,-1,a0,
8,15|7|5|2|1|1|1,7,5,9021,silent,9016
8,15|7|4|3|1|1|1,7,4,11764,silent,11760
8,15|7|4|2|2|1|1,7,10,12609,silent,12599
8,15|7|3|3|2|1|1,7,5,10787,silent,10782
8,15|7|3|2|2|2|1,7,8,6842,silent,6834
8,15|7|2|2|2|2|2,7,3,1128,silent,1125
8,15|6|6|2|1|1|1,7,1,4078,silent,4077
8,15|6|5|3|1|1|1,7,6,11306,silent,11300
8,15|6|5|2|2|1|1,7,8,11332,silent,11324
8,15|6|4|4|1|1|1,7,1,6888,silent,6887
8,15|6|4|3|2|1|1,7,8,20835,silent,20827
8,15|6|4|2|2|2|1,7,10,10736,silent,10726
8,15|6|3|3|3|1|1,7,1,6792,silent,6791
8,15|6|3|3|2|2|1,7,2,9850,silent,9848
8,15|6|3|2|2|2|2,7,3,3446,silent,3443
8,15|5|5|4|1|1|1,7,4,4879,silent,4875
8,15|5|5|3|2|1|1,7,6,11632,silent,11626
8,15|5|5|2|2|2|1,7,3,5453,silent,5450
8,15|5|4|4|2|1|1,7,3,9718,silent,9715
8,15|5|4|3|3|1|1,7,1,10058,silent,10057
8,15|5|4|3|2|2|1,7,5,14099,silent,14094
8,15|5|4|2|2|2|2,7,3,3896,silent,3893
8,15|5|3|3|3|2|1,7,0,-1,a0,
8,15|5|3|3|2|2|2,7,0,-1,a0,
8,15|4|4|4|3|1|1,7,0,-1,a0,
8,15|4|4|4|2|2|1,7,2,3848,silent,3846
8,15|4|4|3|3|2|1,7,0,-1,a0,
8,15|4|4|3|2|2|2,7,1,3132,silent,3131
8,15|4|3|3|3|3|1,7,0,-1,a0,
8,15|4|3|3|3|2|2,7,0,-1,a0,
8,15|3|3|3|3|3|2,7,0,-1,a0,
8,14|13|1|1|1|1|1,7,0,-1,a0,
8,14|12|2|1|1|1|1,7,0,-1,a0,
8,14|11|3|1|1|1|1,7,0,-1,a0,
8,14|11|2|2|1|1|1,7,0,-1,a0,
8,14|10|4|1|1|1|1,7,1,1873,silent,1872
8,14|10|3|2|1|1|1,7,2,3325,silent,3323
8,14|10|2|2|2|1|1,7,2,1352,silent,1350
8,14|9|5|1|1|1|1,7,1,3137,silent,3136
8,14|9|4|2|1|1|1,7,5,8550,silent,8545
8,14|9|3|3|1|1|1,7,4,5748,silent,5744
8,14|9|3|2|2|1|1,7,8,7429,silent,7421
8,14|9|2|2|2|2|1,7,5,1987,silent,1982
8,14|8|6|1|1|1|1,7,2,3270,silent,3268
8,14|8|5|2|1|1|1,7,9,12929,silent,12920
8,14|8|4|3|1|1|1,7,8,16261,silent,16253
8,14|8|4|2|2|1|1,7,12,17245,silent,17233
8,14|8|3|3|2|1|1,7,8,14582,silent,14574
8,14|8|3|2|2|2|1,7,9,9181,silent,9172
8,14|8|2|2|2|2|2,7,5,1528,silent,1523
8,14|7|7|1|1|1|1,7,0,-1,a0,
8,14|7|6|2|1|1|1,7,5,10251,silent,10246
8,14|7|5|3|1|1|1,7,11,21657,silent,21646
8,14|7|5|2|2|1|1,7,17,21614,silent,21597
8,14|7|4|4|1|1|1,7,5,12403,silent,12398
8,14|7|4|3|2|1|1,7,15,36323,silent,36308
8,14|7|4|2|2|2|1,7,15,18362,silent,18347
8,14|7|3|3|3|1|1,7,1,11267,silent,11266
8,14|7|3|3|2|2|1,7,4,16401,silent,16397
8,14|7|3|2|2|2|2,7,3,5553,silent,5550
8,14|6|6|3|1|1|1,7,4,10304,silent,10300
8,14|6|6|2|2|1|1,7,4,9987,silent,9983
8,14|6|5|4|1|1|1,7,7,15467,silent,15460
8,14|6|5|3|2|1|1,7,16,35847,silent,35831
8,14|6|5|2|2|2|1,7,10,16715,silent,16705
8,14|6|4|4|2|1|1,7,7,24122,silent,24115
8,14|6|4|3|3|1|1,7,5,24189,silent,24184
8,14|6|4|3|2|2|1,7,10,33554,silent,33544
8,14|6|4|2|2|2|2,7,7,9157,silent,9150
8,14|6|3|3|3|2|1,7,0,-1,a0,
8,14|6|3|3|2|2|2,7,0,-1,a0,
8,14|5|5|5|1|1|1,7,4,3350,silent,3346
8,14|5|5|4|2|1|1,7,9,17107,silent,17098
8,14|5|5|3|3|1|1,7,2,13877,silent,13875
8,14|5|5|3|2|2|1,7,4,18703,silent,18699
8,14|5|5|2|2|2|2,7,0,-1,a0,
8,14|5|4|4|3|1|1,7,3,14633,silent,14630
8,14|5|4|4|2|2|1,7,6,16833,silent,16827
8,14|5|4|3|3|2|1,7,1,21253,silent,21252
8,14|5|4|3|2|2|2,7,2,12349,silent,12347
8,14|5|3|3|3|3|1,7,0,-1,a0,
8,14|5|3|3|3|2|2,7,0,-1,a0,
8,14|4|4|4|4|1|1,7,0,-1,a0,
8,14|4|4|4|3|2|1,7,1,7277,silent,7276
8,14|4|4|4|2|2|2,7,3,3694,silent,3691
8,14|4|4|3|3|3|1,7,0,-1,a0,
8,14|4|4|3|3|2|2,7,0,-1,a0,
8,14|4|3|3|3|3|2,7,0,-1,a0,
8,14|3|3|3|3|3|3,7,0,-1,a0,
8,13|13|2|1|1|1|1,7,0,-1,a0,
8,13|12|3|1|1|1|1,7,0,-1,a0,
8,13|12|2|2|1|1|1,7,0,-1,a0,
8,13|11|4|1|1|1|1,7,0,-1,a0,
8,13|11|3|2|1|1|1,7,2,2442,silent,2440
8,13|11|2|2|2|1|1,7,2,1025,silent,1023
8,13|10|5|1|1|1|1,7,2,2844,silent,2842
8,13|10|4|2|1|1|1,7,5,7629,silent,7624
8,13|10|3|3|1|1|1,7,4,5096,silent,5092
8,13|10|3|2|2|1|1,7,7,6571,silent,6564
8,13|10|2|2|2|2|1,7,4,1749,silent,1745
8,13|9|6|1|1|1|1,7,2,3732,silent,3730
8,13|9|5|2|1|1|1,7,11,14284,silent,14273
8,13|9|4|3|1|1|1,7,9,17532,silent,17523
8,13|9|4|2|2|1|1,7,16,18694,silent,18678
8,13|9|3|3|2|1|1,7,8,15426,silent,15418
8,13|9|3|2|2|2|1,7,9,9694,silent,9685
8,13|9|2|2|2|2|2,7,2,1494,silent,1492
8,13|8|7|1|1|1|1,7,2,2795,silent,2793
8,13|8|6|2|1|1|1,7,9,15448,silent,15439
8,13|8|5|3|1|1|1,7,18,29775,silent,29757
8,13|8|5|2|2|1|1,7,20,29520,silent,29500
8,13|8|4|4|1|1|1,7,6,16532,silent,16526
8,13|8|4|3|2|1|1,7,21,47797,silent,47776
8,13|8|4|2|2|2|1,7,17,24001,silent,23984
8,13|8|3|3|3|1|1,7,3,14508,silent,14505
8,13|8|3|3|2|2|1,7,5,21092,silent,21087
8,13|8|3|2|2|2|2,7,4,7116,silent,7112
8,13|7|7|2|1|1|1,7,5,7014,silent,7009
8,13|7|6|3|1|1|1,7,11,24845,silent,24834
8,13|7|6|2|2|1|1,7,15,24093,silent,24078
8,13|7|5|4|1|1|1,7,15,29187,silent,29172
8,13|7|5|3|2|1|1,7,27,65959,silent,65932
8,13|7|5|2|2|2|1,7,16,30312,silent,30296
8,13|7|4|4|2|1|1,7,16,41584,silent,41568
8,13|7|4|3|3|1|1,7,6,40468,silent,40462
8,13|7|4|3|2|2|1,7,16,55970,silent,55954
8,13|7|4|2|2|2|2,7,6,14662,silent,14656
8,13|7|3|3|3|2|1,7,0,-1,a0,
8,13|7|3|3|2|2|2,7,1,13347,silent,13346
8,13|6|6|4|1|1|1,7,3,14994,silent,14991
8,13|6|6|3|2|1|1,7,11,32153,silent,32142
8,13|6|6|2|2|2|1,7,8,14611,silent,14603
8,13|6|5|5|1|1|1,7,7,11198,silent,11191
8,13|6|5|4|2|1|1,7,19,52978,silent,52959
8,13|6|5|3|3|1|1,7,9,41938,silent,41929
8,13|6|5|3|2|2|1,7,13,56223,silent,56210
8,13|6|5|2|2|2|2,7,4,13535,silent,13531
8,13|6|4|4|3|1|1,7,7,35524,silent,35517
8,13|6|4|4|2|2|1,7,13,40398,silent,40385
8,13|6|4|3|3|2|1,7,3,49344,silent,49341
8,13|6|4|3|2|2|2,7,4,28422,silent,28418
8,13|6|3|3|3|3|1,7,0,-1,a0,
8,13|6|3|3|3|2|2,7,0,-1,a0,
8,13|5|5|5|2|1|1,7,5,11729,silent,11724
8,13|5|5|4|3|1|1,7,7,25940,silent,25933
8,13|5|5|4|2|2|1,7,5,28138,silent,28133
8,13|5|5|3|3|2|1,7,2,28906,silent,28904
8,13|5|5|3|2|2|2,7,1,15845,silent,15844
8,13|5|4|4|4|1|1,7,3,9386,silent,9383
8,13|5|4|4|3|2|1,7,5,32136,silent,32131
8,13|5|4|4|2|2|2,7,3,14904,silent,14901
8,13|5|4|3|3|3|1,7,0,-1,a0,
8,13|5|4|3|3|2|2,7,0,-1,a0,
8,13|5|3|3|3|3|2,7,0,-1,a0,
8,13|4|4|4|4|2|1,7,2,5070,silent,5068
8,13|4|4|4|3|3|1,7,0,-1,a0,
8,13|4|4|4|3|2|2,7,1,7239,silent,7238
8,13|4|4|3|3|3|2,7,0,-1,a0,
8,13|4|3|3|3|3|3,7,0,-1,a0,
8,12|12|4|1|1|1|1,7,0,-1,a0,
8,12|12|3|2|1|1|1,7,1,889,silent,888
8,12|12|2|2|2|1|1,7,0,-1,a0,
8,12|11|5|1|1|1|1,7,1,1700,silent,1699
8,12|11|4|2|1|1|1,7,3,4545,silent,4542
8,12|11|3|3|1|1|1,7,2,3013,silent,3011
8,12|11|3|2|2|1|1,7,5,3902,silent,3897
8,12|11|2|2|2|2|1,7,2,1028,silent,1026
8,12|10|6|1|1|1|1,7,2,3054,silent,3052
8,12|10|5|2|1|1|1,7,9,11273,silent,11264
8,12|10|4|3|1|1|1,7,9,13739,silent,13730
8,12|10|4|2|2|1|1,7,10,14489,silent,14479
8,12|10|3|3|2|1|1,7,7,12042,silent,12035
8,12|10|3|2|2|2|1,7,7,7538,silent,7531
8,12|10|2|2|2|2|2,7,3,1228,silent,1225
8,12|9|7|1|1|1|1,7,2,3201,silent,3199
8,12|9|6|2|1|1|1,7,11,16222,silent,16211
8,12|9|5|3|1|1|1,7,18,29846,silent,29828
8,12|9|5|2|2|1|1,7,22,29570,silent,29548
8,12|9|4|4|1|1|1,7,7,16364,silent,16357
8,12|9|4|3|2|1|1,7,21,46815,silent,46794
8,12|9|4|2|2|2|1,7,15,23354,silent,23339
8,12|9|3|3|3|1|1,7,2,13985,silent,13983
8,12|9|3|3|2|2|1,7,5,20388,silent,20383
8,12|9|3|2|2|2|2,7,3,6793,silent,6790
8,12|8|8|1|1|1|1,7,2,1407,silent,1405
8,12|8|7|2|1|1|1,7,9,12594,silent,12585
8,12|8|6|3|1|1|1,7,18,34892,silent,34874
8,12|8|6|2|2|1|1,7,17,33498,silent,33481
8,12|8|5|4|1|1|1,7,19,37591,silent,37572
8,12|8|5|3|2|1|1,7,35,84167,silent,84132
8,12|8|5|2|2|2|1,7,18,38533,silent,38515
8,12|8|4|4|2|1|1,7,17,51215,silent,51198
8,12|8|4|3|3|1|1,7,11,49596,silent,49585
8,12|8|4|3|2|2|1,7,17,68278,silent,68261
8,12|8|4|2|2|2|2,7,9,17964,silent,17955
8,12|8|3|3|3|2|1,7,1,26199,silent,26198
8,12|8|3|3|2|2|2,7,0,-1,a0,
8,12|7|7|3|1|1|1,7,7,16168,silent,16161
8,12|7|7|2|2|1|1,7,12,15472,silent,15460
8,12|7|6|4|1|1|1,7,14,34858,silent,34844
8,12|7|6|3|2|1|1,7,25,72567,silent,72542
8,12|7|6|2|2|2|1,7,14,32238,silent,32224
8,12|7|5|5|1|1|1,7,10,20581,silent,20571
8,12|7|5|4|2|1|1,7,33,93732,silent,93699
8,12|7|5|3|3|1|1,7,12,72663,silent,72651
8,12|7|5|3|2|2|1,7,21,97047,silent,97026
8,12|7|5|2|2|2|2,7,4,22828,silent,22824
8,12|7|4|4|3|1|1,7,13,57479,silent,57466
8,12|7|4|4|2|2|1,7,17,64604,silent,64587
8,12|7|4|3|3|2|1,7,5,77857,silent,77852
8,12|7|4|3|2|2|2,7,5,44372,silent,44367
8,12|7|3|3|3|3|1,7,0,-1,a0,
8,12|7|3|3|3|2|2,7,0,-1,a0,
8,12|6|6|5|1|1|1,7,3,13273,silent,13270
8,12|6|6|4|2|1|1,7,11,49524,silent,49513
8,12|6|6|3|3|1|1,7,8,36623,silent,36615
8,12|6|6|3|2|2|1,7,11,48526,silent,48515
8,12|6|6|2|2|2|2,7,6,11509,silent,11503
8,12|6|5|5|2|1|1,7,13,37907,silent,37894
8,12|6|5|4|3|1|1,7,16,77169,silent,77153
8,12|6|5|4|2|2|1,7,17,83701,silent,83684
8,12|6|5|3|3|2|1,7,6,82639,silent,82633
8,12|6|5|3|2|2|2,7,3,45336,silent,45333
8,12|6|4|4|4|1|1,7,4,21946,silent,21942
8,12|6|4|4|3|2|1,7,10,73903,silent,73893
8,12|6|4|4|2|2|2,7,8,34060,silent,34052
8,12|6|4|3|3|3|1,7,0,-1,a0,
8,12|6|4|3|3|2|2,7,0,-1,a0,
8,12|6|3|3|3|3|2,7,0,-1,a0,
8,12|5|5|5|3|1|1,7,4,18710,silent,18706
8,12|5|5|5|2|2|1,7,1,18673,silent,18672
8,12|5|5|4|4|1|1,7,6,17562,silent,17556
8,12|5|5|4|3|2|1,7,5,54211,silent,54206
8,12|5|5|4|2|2|2,7,0,-1,a0,
8,12|5|5|3|3|3|1,7,0,-1,a0,
8,12|5|5|3|3|2|2,7,1,26384,silent,26383
8,12|5|4|4|4|2|1,7,6,22040,silent,22034
8,12|5|4|4|3|3|1,7,1,24896,silent,24895
8,12|5|4|4|3|2|2,7,2,30153,silent,30151
8,12|5|4|3|3|3|2,7,0,-1,a0,
8,12|5|3|3|3|3|3,7,0,-1,a0,
8,12|4|4|4|4|3|1,7,1,5055,silent,5054
8,12|4|4|4|4|2|2,7,3,5276,silent,5273
8,12|4|4|4|3|3|2,7,0,-1,a0,
8,12|4|4|3|3|3|3,7,0,-1,a0,
8,11|11|6|1|1|1|1,7,0,-1,a0,
8,11|11|5|2|1|1|1,7,4,4347,silent,4343
8,11|11|4|3|1|1|1,7,2,5217,silent,5215
8,11|11|4|2|2|1|1,7,6,5623,silent,5617
8,11|11|3|3|2|1|1,7,2,4509,silent,4507
8,11|11|3|2|2|2|1,7,2,2838,silent,2836
8,11|11|2|2|2|2|2,7,0,-1,a0,
8,11|10|7|1|1|1|1,7,2,2158,silent,2156
8,11|10|6|2|1|1|1,7,7,10463,silent,10456
8,11|10|5|3|1|1|1,7,12,18898,silent,18886
8,11|10|5|2|2|1|1,7,13,18669,silent,18656
8,11|10|4|4|1|1|1,7,5,10279,silent,10274
8,11|10|4|3|2|1|1,7,13,29296,silent,29283
8,11|10|4|2|2|2|1,7,9,14597,silent,14588
8,11|10|3|3|3|1|1,7,2,8711,silent,8709
8,11|10|3|3|2|2|1,7,3,12677,silent,12674
8,11|10|3|2|2|2|2,7,2,4228,silent,4226
8,11|9|8|1|1|1|1,7,1,1768,silent,1767
8,11|9|7|2|1|1|1,7,10,12506,silent,12496
8,11|9|6|3|1|1|1,7,16,31549,silent,31533
8,11|9|6|2|2|1|1,7,19,30405,silent,30386
8,11|9|5|4|1|1|1,7,17,32810,silent,32793
8,11|9|5|3|2|1|1,7,29,72767,silent,72738
8,11|9|5|2|2|2|1,7,14,33119,silent,33105
8,11|9|4|4|2|1|1,7,17,43856,silent,43839
8,11|9|4|3|3|1|1,7,7,41843,silent,41836
8,11|9|4|3|2|2|1,7,15,57669,silent,57654
8,11|9|4|2|2|2|2,7,3,14785,silent,14782
8,11|9|3|3|3|2|1,7,1,21916,silent,21915
8,11|9|3|3|2|2|2,7,1,13361,silent,13360
8,11|8|8|2|1|1|1,7,4,5609,silent,5605
8,11|8|7|3|1|1|1,7,14,26196,silent,26182
8,11|8|7|2|2|1|1,7,13,24810,silent,24797
8,11|8|6|4|1|1|1,7,17,44234,silent,44217
8,11|8|6|3|2|1|1,7,31,91109,silent,91078
8,11|8|6|2|2|2|1,7,16,40278,silent,40262
8,11|8|5|5|1|1|1,7,13,24279,silent,24266
8,11|8|5|4|2|1|1,7,35,108281,silent,108246
8,11|8|5|3|3|1|1,7,17,83280,silent,83263
8,11|8|5|3|2|2|1,7,22,110925,silent,110903
8,11|8|5|2|2|2|2,7,6,26084,silent,26078
8,11|8|4|4|3|1|1,7,13,63772,silent,63759
8,11|8|4|4|2|2|1,7,18,71460,silent,71442
8,11|8|4|3|3|2|1,7,6,85316,silent,85310
8,11|8|4|3|2|2|2,7,5,48482,silent,48477
8,11|8|3|3|3|3|1,7,0,-1,a0,
8,11|8|3|3|3|2|2,7,0,-1,a0,
8,11|7|7|4|1|1|1,7,11,21794,silent,21783
8,11|7|7|3|2|1|1,7,14,43218,silent,43204
8,11|7|7|2|2|2|1,7,6,18600,silent,18594
8,11|7|6|5|1|1|1,7,9,29306,silent,29297
8,11|7|6|4|2|1|1,7,30,104709,silent,104679
8,11|7|6|3|3|1|1,7,12,75347,silent,75335
8,11|7|6|3|2|2|1,7,19,99287,silent,99268
8,11|7|6|2|2|2|2,7,4,22470,silent,22466
8,11|7|5|5|2|1|1,7,17,63733,silent,63716
8,11|7|5|4|3|1|1,7,25,125296,silent,125271
8,11|7|5|4|2|2|1,7,23,134893,silent,134870
8,11|7|5|3|3|2|1,7,9,131152,silent,131143
8,11|7|5|3|2|2|2,7,5,71458,silent,71453
8,11|7|4|4|4|1|1,7,10,33087,silent,33077
8,11|7|4|4|3|2|1,7,13,108963,silent,108950
8,11|7|4|4|2|2|2,7,6,49122,silent,49116
8,11|7|4|3|3|3|1,7,0,-1,a0,
8,11|7|4|3|3|2|2,7,1,63874,silent,63873
8,11|7|3|3|3|3|2,7,0,-1,a0,
8,11|6|6|6|1|1|1,7,0,-1,a0,
8,11|6|6|5|2|1|1,7,8,42662,silent,42654
8,11|6|6|4|3|1|1,7,10,68648,silent,68638
8,11|6|6|4|2|2|1,7,15,73748,silent,73733
8,11|6|6|3|3|2|1,7,5,67308,silent,67303
8,11|6|6|3|2|2|2,7,4,36626,silent,36622
8,11|6|5|5|3|1|1,7,10,56651,silent,56641
8,11|6|5|5|2|2|1,7,6,56580,silent,56574
8,11|6|5|4|4|1|1,7,9,49230,silent,49221
8,11|6|5|4|3|2|1,7,15,150168,silent,150153
8,11|6|5|4|2|2|2,7,5,65078,silent,65073
8,11|6|5|3|3|3|1,7,1,55459,silent,55458
8,11|6|5|3|3|2|2,7,1,69492,silent,69491
8,11|6|4|4|4|2|1,7,10,47977,silent,47967
8,11|6|4|4|3|3|1,7,2,53322,silent,53320
8,11|6|4|4|3|2|2,7,4,64215,silent,64211
8,11|6|4|3|3|3|2,7,0,-1,a0,
8,11|6|3|3|3|3|3,7,0,-1,a0,
8,11|5|5|5|4|1|1,7,3,15441,silent,15438
8,11|5|5|5|3|2|1,7,2,37341,silent,37339
8,11|5|5|5|2|2|2,7,0,-1,a0,
8,11|5|5|4|4|2|1,7,4,38076,silent,38072
8,11|5|5|4|3|3|1,7,2,40597,silent,40595
8,11|5|5|4|3|2|2,7,1,47557,silent,47556
8,11|5|5|3|3|3|2,7,0,-1,a0,
8,11|5|4|4|4|3|1,7,4,21081,silent,21077
8,11|5|4|4|4|2|2,7,3,20570,silent,20567
8,11|5|4|4|3|3|2,7,0,-1,a0,
8,11|5|4|3|3|3|3,7,0,-1,a0,
8,11|4|4|4|4|4|1,7,2,2156,silent,2154
8,11|4|4|4|4|3|2,7,1,6357,silent,6356
8,11|4|4|4|3|3|3,7,0,-1,a0,
8,10|10|8|1|1|1|1,7,2,816,silent,814
8,10|10|7|2|1|1|1,7,4,5178,silent,5174
8,10|10|6|3|1|1|1,7,8,12773,silent,12765
8,10|10|6|2|2|1|1,7,5,12127,silent,12122
8,10|10|5|4|1|1|1,7,7,13035,silent,13028
8,10|10|5|3|2|1|1,7,12,28973,silent,28961
8,10|10|5|2|2|2|1,7,6,13213,silent,13207
8,10|10|4|4|2|1|1,7,4,17147,silent,17143
8,10|10|4|3|3|1|1,7,5,16606,silent,16601
8,10|10|4|3|2|2|1,7,5,22738,silent,22733
8,10|10|4|2|2|2|2,7,4,6047,silent,6043
8,10|10|3|3|3|2|1,7,0,-1,a0,
