delta,lam,ell,a,m_det,class,margin
9,30|1|1|1|1|1|1,7,0,-1,a0,
9,29|2|1|1|1|1|1,7,0,-1,a0,
9,28|3|1|1|1|1|1,7,0,-1,a0,
9,28|2|2|1|1|1|1,7,0,-1,a0,
9,27|4|1|1|1|1|1,7,0,-1,a0,
9,27|3|2|1|1|1|1,7,0,-1,a0,
9,27|2|2|2|1|1|1,7,0,-1,a0,
9,26|5|1|1|1|1|1,7,0,-1,a0,
9,26|4|2|1|1|1|1,7,0,-1,a0,
9,26|3|3|1|1|1|1,7,0,-1,a0,
9,26|3|2|2|1|1|1,7,0,-1,a0,
9,26|2|2|2|2|1|1,7,0,-1,a0,
9,25|6|1|1|1|1|1,7,0,-1,a0,
9,25|5|2|1|1|1|1,7,0,-1,a0,
9,25|4|3|1|1|1|1,7,0,-1,a0,
9,25|4|2|2|1|1|1,7,0,-1,a0,
9,25|3|3|2|1|1|1,7,0,-1,a0,
9,25|3|2|2|2|1|1,7,0,-1,a0,
9,25|2|2|2|2|2|1,7,0,-1,a0,
9,24|7|1|1|1|1|1,7,0,-1,a0,
9,24|6|2|1|1|1|1,7,0,-1,a0,
9,24|5|3|1|1|1|1,7,0,-1,a0,
9,24|5|2|2|1|1|1,7,0,-1,a0,
9,24|4|4|1|1|1|1,7,0,-1,a0,
9,24|4|3|2|1|1|1,7,0,-1,a0,
9,24|4|2|2|2|1|1,7,0,-1,a0,
9,24|3|3|3|1|1|1,7,0,-1,a0,
9,24|3|3|2|2|1|1,7,0,-1,a0,
9,24|3|2|2|2|2|1,7,0,-1,a0,
9,24|2|2|2|2|2|2,7,1,18,silent,17
9,23|8|1|1|1|1|1,7,0,-1,a0,
9,23|7|2|1|1|1|1,7,0,-1,a0,
9,23|6|3|1|1|1|1,7,0,-1,a0,
9,23|6|2|2|1|1|1,7,0,-1,a0,
9,23|5|4|1|1|1|1,7,0,-1,a0,
9,23|5|3|2|1|1|1,7,0,-1,a0,
9,23|5|2|2|2|1|1,7,0,-1,a0,
9,23|4|4|2|1|1|1,7,0,-1,a0,
9,23|4|3|3|1|1|1,7,0,-1,a0,
9,23|4|3|2|2|1|1,7,0,-1,a0,
9,23|4|2|2|2|2|1,7,1,179,silent,178
9,23|3|3|3|2|1|1,7,0,-1,a0,
9,23|3|3|2|2|2|1,7,0,-1,a0,
9,23|3|2|2|2|2|2,7,1,50,silent,49
9,22|9|1|1|1|1|1,7,0,-1,a0,
9,22|8|2|1|1|1|1,7,0,-1,a0,
9,22|7|3|1|1|1|1,7,0,-1,a0,
9,22|7|2|2|1|1|1,7,0,-1,a0,
9,22|6|4|1|1|1|1,7,0,-1,a0,
9,22|6|3|2|1|1|1,7,0,-1,a0,
9,22|6|2|2|2|1|1,7,0,-1,a0,
9,22|5|5|1|1|1|1,7,0,-1,a0,
9,22|5|4|2|1|1|1,7,0,-1,a0,
9,22|5|3|3|1|1|1,7,0,-1,a0,
9,22|5|3|2|2|1|1,7,1,1374,silent,1373
9,22|5|2|2|2|2|1,7,2,427,silent,425
9,22|4|4|3|1|1|1,7,0,-1,a0,
9,22|4|4|2|2|1|1,7,0,-1,a0,
9,22|4|3|3|2|1|1,7,0,-1,a0,
9,22|4|3|2|2|2|1,7,1,681,silent,680
9,22|4|2|2|2|2|2,7,3,179,silent,176
9,22|3|3|3|3|1|1,7,0,-1,a0,
9,22|3|3|3|2|2|1,7,0,-1,a0,
9,22|3|3|2|2|2|2,7,0,-1,a0,
9,21|10|1|1|1|1|1,7,0,-1,a0,
9,21|9|2|1|1|1|1,7,0,-1,a0,
9,21|8|3|1|1|1|1,7,0,-1,a0,
9,21|8|2|2|1|1|1,7,0,-1,a0,
9,21|7|4|1|1|1|1,7,0,-1,a0,
9,21|7|3|2|1|1|1,7,0,-1,a0,
9,21|7|2|2|2|1|1,7,1,958,silent,957
9,21|6|5|1|1|1|1,7,0,-1,a0,
9,21|6|4|2|1|1|1,7,0,-1,a0,
9,21|6|3|3|1|1|1,7,1,2296,silent,2295
9,21|6|3|2|2|1|1,7,2,2934,silent,2932
9,21|6|2|2|2|2|1,7,4,858,silent,854
9,21|5|5|2|1|1|1,7,1,1591,silent,1590
9,21|5|4|3|1|1|1,7,0,-1,a0,
9,21|5|4|2|2|1|1,7,2,3079,silent,3077
9,21|5|3|3|2|1|1,7,1,3005,silent,3004
