delta,lam,ell,a,m_det,class,margin
12,43|1|1|1|1|1,6,0,-1,a0,
12,42|2|1|1|1|1,6,0,-1,a0,
12,41|3|1|1|1|1,6,0,-1,a0,
12,41|2|2|1|1|1,6,0,-1,a0,
12,40|4|1|1|1|1,6,0,-1,a0,
12,40|3|2|1|1|1,6,0,-1,a0,
12,40|2|2|2|1|1,6,0,-1,a0,
12,39|5|1|1|1|1,6,0,-1,a0,
12,39|4|2|1|1|1,6,0,-1,a0,
12,39|3|3|1|1|1,6,0,-1,a0,
12,39|3|2|2|1|1,6,0,-1,a0,
12,39|2|2|2|2|1,6,0,-1,a0,
12,38|6|1|1|1|1,6,0,-1,a0,
12,38|5|2|1|1|1,6,0,-1,a0,
12,38|4|3|1|1|1,6,0,-1,a0,
12,38|4|2|2|1|1,6,0,-1,a0,
12,38|3|3|2|1|1,6,0,-1,a0,
12,38|3|2|2|2|1,6,0,-1,a0,
12,38|2|2|2|2|2,6,1,13,silent,12
12,37|7|1|1|1|1,6,0,-1,a0,
12,37|6|2|1|1|1,6,0,-1,a0,
12,37|5|3|1|1|1,6,0,-1,a0,
12,37|5|2|2|1|1,6,0,-1,a0,
12,37|4|4|1|1|1,6,0,-1,a0,
12,37|4|3|2|1|1,6,0,-1,a0,
12,37|4|2|2|2|1,6,1,78,silent,77
12,37|3|3|3|1|1,6,0,-1,a0,
12,37|3|3|2|2|1,6,0,-1,a0,
12,37|3|2|2|2|2,6,1,30,silent,29
12,36|8|1|1|1|1,6,0,-1,a0,
12,36|7|2|1|1|1,6,0,-1,a0,
12,36|6|3|1|1|1,6,0,-1,a0,
12,36|6|2|2|1|1,6,0,-1,a0,
12,36|5|4|1|1|1,6,0,-1,a0,
12,36|5|3|2|1|1,6,1,375,silent,374
12,36|5|2|2|2|1,6,2,169,silent,167
12,36|4|4|2|1|1,6,0,-1,a0,
12,36|4|3|3|1|1,6,0,-1,a0,
12,36|4|3|2|2|1,6,1,260,silent,259
12,36|4|2|2|2|2,6,3,105,silent,102
12,36|3|3|3|2|1,6,0,-1,a0,
12,36|3|3|2|2|2,6,0,-1,a0,
12,35|9|1|1|1|1,6,0,-1,a0,
12,35|8|2|1|1|1,6,0,-1,a0,
12,35|7|3|1|1|1,6,0,-1,a0,
12,35|7|2|2|1|1,6,1,257,silent,256
12,35|6|4|1|1|1,6,0,-1,a0,
12,35|6|3|2|1|1,6,2,726,silent,724
12,35|6|2|2|2|1,6,4,322,silent,318
12,35|5|5|1|1|1,6,1,199,silent,198
12,35|5|4|2|1|1,6,2,701,silent,699
12,35|5|3|3|1|1,6,1,578,silent,577
12,35|5|3|2|2|1,6,4,692,silent,688
12,35|5|2|2|2|2,6,4,197,silent,193
12,35|4|4|3|1|1,6,0,-1,a0,
12,35|4|4|2|2|1,6,3,426,silent,423
12,35|4|3|3|2|1,6,0,-1,a0,
12,35|4|3|2|2|2,6,2,270,silent,268
12,35|3|3|3|3|1,6,0,-1,a0,
12,35|3|3|3|2|2,6,0,-1,a0,
12,34|10|1|1|1|1,6,0,-1,a0,
12,34|9|2|1|1|1,6,0,-1,a0,
12,34|8|3|1|1|1,6,1,487,silent,486
12,34|8|2|2|1|1,6,1,361,silent,360
12,34|7|4|1|1|1,6,1,672,silent,671
12,34|7|3|2|1|1,6,5,1265,silent,1260
12,34|7|2|2|2|1,6,7,533,silent,526
12,34|6|5|1|1|1,6,1,550,silent,549
12,34|6|4|2|1|1,6,5,1607,silent,1602
