delta,lam,ell,a,m_det,class,margin
10,31|1|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,30|2|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,29|3|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,29|2|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,28|4|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,28|3|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,28|2|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,27|5|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,27|4|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,27|3|3|1|1|1|1|1|1|1,10,0,-1,a0,
10,27|3|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,27|2|2|2|2|1|1|1|1|1,10,0,-1,a0,
10,26|6|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,26|5|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,26|4|3|1|1|1|1|1|1|1,10,0,-1,a0,
10,26|4|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,26|3|3|2|1|1|1|1|1|1,10,0,-1,a0,
10,26|3|2|2|2|1|1|1|1|1,10,0,-1,a0,
10,26|2|2|2|2|2|1|1|1|1,10,0,-1,a0,
10,25|7|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,25|6|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,25|5|3|1|1|1|1|1|1|1,10,0,-1,a0,
10,25|5|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,25|4|4|1|1|1|1|1|1|1,10,0,-1,a0,
10,25|4|3|2|1|1|1|1|1|1,10,0,-1,a0,
10,25|4|2|2|2|1|1|1|1|1,10,0,-1,a0,
10,25|3|3|3|1|1|1|1|1|1,10,0,-1,a0,
10,25|3|3|2|2|1|1|1|1|1,10,0,-1,a0,
10,25|3|2|2|2|2|1|1|1|1,10,0,-1,a0,
10,25|2|2|2|2|2|2|1|1|1,10,0,-1,a0,
10,24|8|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,24|7|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,24|6|3|1|1|1|1|1|1|1,10,0,-1,a0,
10,24|6|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,24|5|4|1|1|1|1|1|1|1,10,0,-1,a0,
10,24|5|3|2|1|1|1|1|1|1,10,0,-1,a0,
10,24|5|2|2|2|1|1|1|1|1,10,0,-1,a0,
10,24|4|4|2|1|1|1|1|1|1,10,0,-1,a0,
10,24|4|3|3|1|1|1|1|1|1,10,0,-1,a0,
10,24|4|3|2|2|1|1|1|1|1,10,0,-1,a0,
10,24|4|2|2|2|2|1|1|1|1,10,0,-1,a0,
10,24|3|3|3|2|1|1|1|1|1,10,0,-1,a0,
10,24|3|3|2|2|2|1|1|1|1,10,0,-1,a0,
10,24|3|2|2|2|2|2|1|1|1,10,0,-1,a0,
10,24|2|2|2|2|2|2|2|1|1,10,0,-1,a0,
10,23|9|1|1|1|1|1|1|1|1,10,0,-1,a0,
10,23|8|2|1|1|1|1|1|1|1,10,0,-1,a0,
10,23|7|3|1|1|1|1|1|1|1,10,0,-1,a0,
10,23|7|2|2|1|1|1|1|1|1,10,0,-1,a0,
10,23|6|4|1|1|1|1|1|1|1,10,0,-1,a0,
10,23|6|3|2|1|1|1|1|1|1,10,0,-1,a0,
10,23|6|2|2|2|1|1|1|1|1,10,0,-1,a0,
10,23|5|5|1|1|1|1|1|1|1,10,0,-1,a0,
10,23|5|4|2|1|1|1|1|1|1,10,0,-1,a0,
10,23|5|3|3|1|1|1|1|1|1,10,0,-1,a0,
10,23|5|3|2|2|1|1|1|1|1,10,0,-1,a0,
10,23|5|2|2|2|2|1|1|1|1,10,0,-1,a0,
10,23|4|4|3|1|1|1|1|1|1,10,0,-1,a0,
10,23|4|4|2|2|1|1|1|1|1,10,0,-1,a0,
10,23|4|3|3|2|1|1|1|1|1,10,0,-1,a0,
10,23|4|3|2|2|2|1|1|1|1,10,0,-1,a0,
10,23|4|2|2|2|2|2|1|1|1,10,0,-1,a0,
10,23|3|3|3|3|1|1|1|1|1,10,0,-1,a0,
10,23|3|3|3|2|2|1|1|1|1,10,0,-1,a0,
10,23|3|3|2|2|2|2|1|1|1,10,0,-1,a0,
