delta,lam,ell,a,m_det,class,margin
11,35|1|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,34|2|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,33|3|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,33|2|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,32|4|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,32|3|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,32|2|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,31|5|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,31|4|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,31|3|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,31|3|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,31|2|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,30|6|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,30|5|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,30|4|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,30|4|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,30|3|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,30|3|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,30|2|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,29|7|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,29|6|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,29|5|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,29|5|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,29|4|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,29|4|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,29|4|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,29|3|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,29|3|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,29|3|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,29|2|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,28|8|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,28|7|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,28|6|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,28|6|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,28|5|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,28|5|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,28|5|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,28|4|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,28|4|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,28|4|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,28|4|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,28|3|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,28|3|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,28|3|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,28|2|2|2|2|2|2|2|1|1,10,0,-1,a0,
11,27|9|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,27|8|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,27|7|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,27|7|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,27|6|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,27|6|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,27|6|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,27|5|5|1|1|1|1|1|1|1,10,0,-1,a0,
11,27|5|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,27|5|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,27|5|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,27|5|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,27|4|4|3|1|1|1|1|1|1,10,0,-1,a0,
11,27|4|4|2|2|1|1|1|1|1,10,0,-1,a0,
11,27|4|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,27|4|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,27|4|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,27|3|3|3|3|1|1|1|1|1,10,0,-1,a0,
11,27|3|3|3|2|2|1|1|1|1,10,0,-1,a0,
11,27|3|3|2|2|2|2|1|1|1,10,0,-1,a0,
11,27|3|2|2|2|2|2|2|1|1,10,0,-1,a0,
11,27|2|2|2|2|2|2|2|2|1,10,0,-1,a0,
11,26|10|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,26|9|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,26|8|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,26|8|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,26|7|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,26|7|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,26|7|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,26|6|5|1|1|1|1|1|1|1,10,0,-1,a0,
11,26|6|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,26|6|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,26|6|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,26|6|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,26|5|5|2|1|1|1|1|1|1,10,0,-1,a0,
11,26|5|4|3|1|1|1|1|1|1,10,0,-1,a0,
11,26|5|4|2|2|1|1|1|1|1,10,0,-1,a0,
11,26|5|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,26|5|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,26|5|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,26|4|4|4|1|1|1|1|1|1,10,0,-1,a0,
11,26|4|4|3|2|1|1|1|1|1,10,0,-1,a0,
11,26|4|4|2|2|2|1|1|1|1,10,0,-1,a0,
11,26|4|3|3|3|1|1|1|1|1,10,0,-1,a0,
11,26|4|3|3|2|2|1|1|1|1,10,0,-1,a0,
11,26|4|3|2|2|2|2|1|1|1,10,0,-1,a0,
11,26|4|2|2|2|2|2|2|1|1,10,0,-1,a0,
11,26|3|3|3|3|2|1|1|1|1,10,0,-1,a0,
11,26|3|3|3|2|2|2|1|1|1,10,0,-1,a0,
11,26|3|3|2|2|2|2|2|1|1,10,0,-1,a0,
11,26|3|2|2|2|2|2|2|2|1,10,0,-1,a0,
11,26|2|2|2|2|2|2|2|2|2,10,1,18,silent,17
11,25|11|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|10|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|9|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|9|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,25|8|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|8|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,25|8|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,25|7|5|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|7|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,25|7|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,25|7|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,25|7|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,25|6|6|1|1|1|1|1|1|1,10,0,-1,a0,
11,25|6|5|2|1|1|1|1|1|1,10,0,-1,a0,
11,25|6|4|3|1|1|1|1|1|1,10,0,-1,a0,
11,25|6|4|2|2|1|1|1|1|1,10,0,-1,a0,
11,25|6|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,25|6|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,25|6|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,25|5|5|3|1|1|1|1|1|1,10,0,-1,a0,
11,25|5|5|2|2|1|1|1|1|1,10,0,-1,a0,
11,25|5|4|4|1|1|1|1|1|1,10,0,-1,a0,
11,25|5|4|3|2|1|1|1|1|1,10,0,-1,a0,
11,25|5|4|2|2|2|1|1|1|1,10,0,-1,a0,
11,25|5|3|3|3|1|1|1|1|1,10,0,-1,a0,
11,25|5|3|3|2|2|1|1|1|1,10,0,-1,a0,
11,25|5|3|2|2|2|2|1|1|1,10,0,-1,a0,
11,25|5|2|2|2|2|2|2|1|1,10,0,-1,a0,
11,25|4|4|4|2|1|1|1|1|1,10,0,-1,a0,
11,25|4|4|3|3|1|1|1|1|1,10,0,-1,a0,
11,25|4|4|3|2|2|1|1|1|1,10,0,-1,a0,
11,25|4|4|2|2|2|2|1|1|1,10,0,-1,a0,
11,25|4|3|3|3|2|1|1|1|1,10,0,-1,a0,
11,25|4|3|3|2|2|2|1|1|1,10,0,-1,a0,
11,25|4|3|2|2|2|2|2|1|1,10,0,-1,a0,
11,25|4|2|2|2|2|2|2|2|1,10,1,317,silent,316
11,25|3|3|3|3|3|1|1|1|1,10,0,-1,a0,
11,25|3|3|3|3|2|2|1|1|1,10,0,-1,a0,
11,25|3|3|3|2|2|2|2|1|1,10,0,-1,a0,
11,25|3|3|2|2|2|2|2|2|1,10,0,-1,a0,
11,25|3|2|2|2|2|2|2|2|2,10,1,52,silent,51
11,24|12|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|11|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|10|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|10|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,24|9|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|9|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,24|9|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,24|8|5|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|8|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,24|8|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,24|8|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,24|8|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,24|7|6|1|1|1|1|1|1|1,10,0,-1,a0,
11,24|7|5|2|1|1|1|1|1|1,10,0,-1,a0,
11,24|7|4|3|1|1|1|1|1|1,10,0,-1,a0,
11,24|7|4|2|2|1|1|1|1|1,10,0,-1,a0,
11,24|7|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,24|7|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,24|7|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,24|6|6|2|1|1|1|1|1|1,10,0,-1,a0,
11,24|6|5|3|1|1|1|1|1|1,10,0,-1,a0,
11,24|6|5|2|2|1|1|1|1|1,10,0,-1,a0,
11,24|6|4|4|1|1|1|1|1|1,10,0,-1,a0,
11,24|6|4|3|2|1|1|1|1|1,10,0,-1,a0,
11,24|6|4|2|2|2|1|1|1|1,10,0,-1,a0,
11,24|6|3|3|3|1|1|1|1|1,10,0,-1,a0,
11,24|6|3|3|2|2|1|1|1|1,10,0,-1,a0,
11,24|6|3|2|2|2|2|1|1|1,10,0,-1,a0,
11,24|6|2|2|2|2|2|2|1|1,10,0,-1,a0,
11,24|5|5|4|1|1|1|1|1|1,10,0,-1,a0,
11,24|5|5|3|2|1|1|1|1|1,10,0,-1,a0,
11,24|5|5|2|2|2|1|1|1|1,10,0,-1,a0,
11,24|5|4|4|2|1|1|1|1|1,10,0,-1,a0,
11,24|5|4|3|3|1|1|1|1|1,10,0,-1,a0,
11,24|5|4|3|2|2|1|1|1|1,10,0,-1,a0,
11,24|5|4|2|2|2|2|1|1|1,10,0,-1,a0,
11,24|5|3|3|3|2|1|1|1|1,10,0,-1,a0,
11,24|5|3|3|2|2|2|1|1|1,10,0,-1,a0,
11,24|5|3|2|2|2|2|2|1|1,10,1,6183,silent,6182
11,24|5|2|2|2|2|2|2|2|1,10,2,851,silent,849
11,24|4|4|4|3|1|1|1|1|1,10,0,-1,a0,
11,24|4|4|4|2|2|1|1|1|1,10,0,-1,a0,
11,24|4|4|3|3|2|1|1|1|1,10,0,-1,a0,
11,24|4|4|3|2|2|2|1|1|1,10,0,-1,a0,
11,24|4|4|2|2|2|2|2|1|1,10,0,-1,a0,
11,24|4|3|3|3|3|1|1|1|1,10,0,-1,a0,
11,24|4|3|3|3|2|2|1|1|1,10,0,-1,a0,
11,24|4|3|3|2|2|2|2|1|1,10,0,-1,a0,
11,24|4|3|2|2|2|2|2|2|1,10,1,1510,silent,1509
11,24|4|2|2|2|2|2|2|2|2,10,2,206,silent,204
11,24|3|3|3|3|3|2|1|1|1,10,0,-1,a0,
11,24|3|3|3|3|2|2|2|1|1,10,0,-1,a0,
11,24|3|3|3|2|2|2|2|2|1,10,0,-1,a0,
11,24|3|3|2|2|2|2|2|2|2,10,0,-1,a0,
11,23|13|1|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|12|2|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|11|3|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|11|2|2|1|1|1|1|1|1,10,0,-1,a0,
11,23|10|4|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|10|3|2|1|1|1|1|1|1,10,0,-1,a0,
11,23|10|2|2|2|1|1|1|1|1,10,0,-1,a0,
11,23|9|5|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|9|4|2|1|1|1|1|1|1,10,0,-1,a0,
11,23|9|3|3|1|1|1|1|1|1,10,0,-1,a0,
11,23|9|3|2|2|1|1|1|1|1,10,0,-1,a0,
11,23|9|2|2|2|2|1|1|1|1,10,0,-1,a0,
11,23|8|6|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|8|5|2|1|1|1|1|1|1,10,0,-1,a0,
11,23|8|4|3|1|1|1|1|1|1,10,0,-1,a0,
11,23|8|4|2|2|1|1|1|1|1,10,0,-1,a0,
11,23|8|3|3|2|1|1|1|1|1,10,0,-1,a0,
11,23|8|3|2|2|2|1|1|1|1,10,0,-1,a0,
11,23|8|2|2|2|2|2|1|1|1,10,0,-1,a0,
11,23|7|7|1|1|1|1|1|1|1,10,0,-1,a0,
11,23|7|6|2|1|1|1|1|1|1,10,0,-1,a0,
11,23|7|5|3|1|1|1|1|1|1,10,0,-1,a0,
11,23|7|5|2|2|1|1|1|1|1,10,0,-1,a0,
11,23|7|4|4|1|1|1|1|1|1,10,0,-1,a0,
11,23|7|4|3|2|1|1|1|1|1,10,0,-1,a0,
11,23|7|4|2|2|2|1|1|1|1,10,0,-1,a0,
11,23|7|3|3|3|1|1|1|1|1,10,0,-1,a0,
11,23|7|3|3|2|2|1|1|1|1,10,0,-1,a0,
11,23|7|3|2|2|2|2|1|1|1,10,0,-1,a0,
11,23|7|2|2|2|2|2|2|1|1,10,1,4372,silent,4371
