delta,lam,ell,a,m_det,class,margin
10,34|1|1|1|1|1|1,7,0,-1,a0,
10,33|2|1|1|1|1|1,7,0,-1,a0,
10,32|3|1|1|1|1|1,7,0,-1,a0,
10,32|2|2|1|1|1|1,7,0,-1,a0,
10,31|4|1|1|1|1|1,7,0,-1,a0,
10,31|3|2|1|1|1|1,7,0,-1,a0,
10,31|2|2|2|1|1|1,7,0,-1,a0,
10,30|5|1|1|1|1|1,7,0,-1,a0,
10,30|4|2|1|1|1|1,7,0,-1,a0,
10,30|3|3|1|1|1|1,7,0,-1,a0,
10,30|3|2|2|1|1|1,7,0,-1,a0,
10,30|2|2|2|2|1|1,7,0,-1,a0,
10,29|6|1|1|1|1|1,7,0,-1,a0,
10,29|5|2|1|1|1|1,7,0,-1,a0,
10,29|4|3|1|1|1|1,7,0,-1,a0,
10,29|4|2|2|1|1|1,7,0,-1,a0,
10,29|3|3|2|1|1|1,7,0,-1,a0,
10,29|3|2|2|2|1|1,7,0,-1,a0,
10,29|2|2|2|2|2|1,7,0,-1,a0,
10,28|7|1|1|1|1|1,7,0,-1,a0,
10,28|6|2|1|1|1|1,7,0,-1,a0,
10,28|5|3|1|1|1|1,7,0,-1,a0,
10,28|5|2|2|1|1|1,7,0,-1,a0,
10,28|4|4|1|1|1|1,7,0,-1,a0,
10,28|4|3|2|1|1|1,7,0,-1,a0,
10,28|4|2|2|2|1|1,7,0,-1,a0,
10,28|3|3|3|1|1|1,7,0,-1,a0,
10,28|3|3|2|2|1|1,7,0,-1,a0,
10,28|3|2|2|2|2|1,7,0,-1,a0,
10,28|2|2|2|2|2|2,7,1,18,silent,17
10,27|8|1|1|1|1|1,7,0,-1,a0,
10,27|7|2|1|1|1|1,7,0,-1,a0,
10,27|6|3|1|1|1|1,7,0,-1,a0,
10,27|6|2|2|1|1|1,7,0,-1,a0,
10,27|5|4|1|1|1|1,7,0,-1,a0,
10,27|5|3|2|1|1|1,7,0,-1,a0,
10,27|5|2|2|2|1|1,7,0,-1,a0,
10,27|4|4|2|1|1|1,7,0,-1,a0,
10,27|4|3|3|1|1|1,7,0,-1,a0,
10,27|4|3|2|2|1|1,7,0,-1,a0,
10,27|4|2|2|2|2|1,7,1,179,silent,178
10,27|3|3|3|2|1|1,7,0,-1,a0,
10,27|3|3|2|2|2|1,7,0,-1,a0,
10,27|3|2|2|2|2|2,7,1,50,silent,49
10,26|9|1|1|1|1|1,7,0,-1,a0,
10,26|8|2|1|1|1|1,7,0,-1,a0,
10,26|7|3|1|1|1|1,7,0,-1,a0,
10,26|7|2|2|1|1|1,7,0,-1,a0,
10,26|6|4|1|1|1|1,7,0,-1,a0,
10,26|6|3|2|1|1|1,7,0,-1,a0,
10,26|6|2|2|2|1|1,7,0,-1,a0,
10,26|5|5|1|1|1|1,7,0,-1,a0,
10,26|5|4|2|1|1|1,7,0,-1,a0,
10,26|5|3|3|1|1|1,7,0,-1,a0,
10,26|5|3|2|2|1|1,7,1,1374,silent,1373
10,26|5|2|2|2|2|1,7,2,427,silent,425
10,26|4|4|3|1|1|1,7,0,-1,a0,
10,26|4|4|2|2|1|1,7,0,-1,a0,
10,26|4|3|3|2|1|1,7,0,-1,a0,
10,26|4|3|2|2|2|1,7,1,681,silent,680
10,26|4|2|2|2|2|2,7,3,179,silent,176
10,26|3|3|3|3|1|1,7,0,-1,a0,
10,26|3|3|3|2|2|1,7,0,-1,a0,
10,26|3|3|2|2|2|2,7,0,-1,a0,
10,25|10|1|1|1|1|1,7,0,-1,a0,
10,25|9|2|1|1|1|1,7,0,-1,a0,
10,25|8|3|1|1|1|1,7,0,-1,a0,
10,25|8|2|2|1|1|1,7,0,-1,a0,
10,25|7|4|1|1|1|1,7,0,-1,a0,
10,25|7|3|2|1|1|1,7,0,-1,a0,
10,25|7|2|2|2|1|1,7,1,966,silent,965
10,25|6|5|1|1|1|1,7,0,-1,a0,
10,25|6|4|2|1|1|1,7,0,-1,a0,
10,25|6|3|3|1|1|1,7,1,2305,silent,2304
10,25|6|3|2|2|1|1,7,2,2942,silent,2940
10,25|6|2|2|2|2|1,7,4,861,silent,857
10,25|5|5|2|1|1|1,7,1,1592,silent,1591
10,25|5|4|3|1|1|1,7,0,-1,a0,
10,25|5|4|2|2|1|1,7,2,3079,silent,3077
10,25|5|3|3|2|1|1,7,1,3007,silent,3006
10,25|5|3|2|2|2|1,7,4,1958,silent,1954
10,25|5|2|2|2|2|2,7,4,385,silent,381
10,25|4|4|4|1|1|1,7,0,-1,a0,
10,25|4|4|3|2|1|1,7,0,-1,a0,
10,25|4|4|2|2|2|1,7,3,1222,silent,1219
10,25|4|3|3|3|1|1,7,0,-1,a0,
10,25|4|3|3|2|2|1,7,0,-1,a0,
10,25|4|3|2|2|2|2,7,2,568,silent,566
10,25|3|3|3|3|2|1,7,0,-1,a0,
10,25|3|3|3|2|2|2,7,0,-1,a0,
10,24|11|1|1|1|1|1,7,0,-1,a0,
10,24|10|2|1|1|1|1,7,0,-1,a0,
10,24|9|3|1|1|1|1,7,0,-1,a0,
10,24|9|2|2|1|1|1,7,0,-1,a0,
10,24|8|4|1|1|1|1,7,0,-1,a0,
